Experiments,Time,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,pH,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
"AC, AcGum rep1",0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,1,0,0,0,0,0
"AC, AcGum rep1",1.0,0.003700003027916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.96085950778261,1,0,0,0,0,0
"AC, AcGum rep1",2.0,0.020099997520447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.97259222899144,1,0,0,0,0,0
"AC, AcGum rep2",0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,1,0,0,0,0,0
"AC, AcGum rep2",1.0,0.043100006878376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9223118247689,1,0,0,0,0,0
"AC, AcGum rep2",2.0,0.021600000560284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8701895805964,1,0,0,0,0,0
"AC, AcGum rep3",0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,1,0,0,0,0,0
"AC, AcGum rep3",1.0,0.010799996554852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.97205343953459,1,0,0,0,0,0
"AC, AcGum rep3",2.0,0.019499994814396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.97431353608981,1,0,0,0,0,0
"AC, ArGal rep1",0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,1,0,0,0,0
"AC, ArGal rep1",1.0,0.009400002658367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94713573525794,0,1,0,0,0,0
"AC, ArGal rep1",2.0,0.020999997854233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.91178844448923,0,1,0,0,0,0
"AC, ArGal rep2",0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,1,0,0,0,0
"AC, ArGal rep2",1.0,0.005399998277426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.02677556529419,0,1,0,0,0,0
"AC, ArGal rep2",2.0,0.020200002938509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.00654320510139,0,1,0,0,0,0
"AC, ArGal rep3",0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,1,0,0,0,0
"AC, ArGal rep3",1.0,0.0287000015378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94556872754977,0,1,0,0,0,0
"AC, ArGal rep3",2.0,0.021800003945828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.90551223431,0,1,0,0,0,0
"AC, Inulin rep1",0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,0,1,0,0,0
"AC, Inulin rep1",1.0,0.06139999628067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.90954533143602,0,0,1,0,0,0
"AC, Inulin rep1",2.0,0.078400000929832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.87643960649976,0,0,1,0,0,0
"AC, Inulin rep2",0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,0,1,0,0,0
"AC, Inulin rep2",1.0,0.071599997580051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.88077899004039,0,0,1,0,0,0
"AC, Inulin rep2",2.0,0.083600006997585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.85647893017536,0,0,1,0,0,0
"AC, Inulin rep3",0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,0,1,0,0,0
"AC, Inulin rep3",1.0,0.092600002884865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94992498809926,0,0,1,0,0,0
"AC, Inulin rep3",2.0,0.093099996447563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.95855466064729,0,0,1,0,0,0
"AC, Starch rep1",0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,0,0,0,1,0
"AC, Starch rep1",1.0,-0.006000004708767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.91636906324501,0,0,0,0,1,0
"AC, Starch rep1",2.0,0.008399993181229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.90527422382495,0,0,0,0,1,0
"AC, Starch rep2",0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,0,0,0,1,0
"AC, Starch rep2",1.0,-0.004899993538856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94016840740668,0,0,0,0,1,0
"AC, Starch rep2",2.0,0.011700004339218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.89083350930915,0,0,0,0,1,0
"AC, Starch rep3",0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,0,0,0,1,0
"AC, Starch rep3",1.0,-0.010599993169308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.91378901714397,0,0,0,0,1,0
"AC, Starch rep3",2.0,0.001200005412101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.88459836732582,0,0,0,0,1,0
"AC, Xylan rep1",0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,0,0,0,0,1
"AC, Xylan rep1",1.0,0.013899996876717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.89144160265284,0,0,0,0,0,1
"AC, Xylan rep1",2.0,0.01910000294447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.88324567175512,0,0,0,0,0,1
"AC, Xylan rep2",0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,0,0,0,0,1
"AC, Xylan rep2",1.0,0.003699995577335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.93552115840451,0,0,0,0,0,1
"AC, Xylan rep2",2.0,0.020999997854233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.90205263707564,0,0,0,0,0,1
"AC, Xylan rep3",0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,0,0,0,0,1
