Experiments,Time,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,pH,Lactate,Butyrate,Acetate,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-PC-Pectin,0,0.0006666666666666,0.0006666666666666,0.0006666666666666,0.0005930666666666,0.0006666666666666,0.0006666666666666,0.0006666666666666,0.0006666666666666,0.0006666666666666,0.00045877778,0.0006666666666666,0.0,0.0006666666666666,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-PC-Pectin,1,0.0627485674976003,0.0200758065654525,0.003735033779619,0.0012138859783762,0.282275177894711,0.0070965641812762,0.202252079166372,0.0292266393255192,0.0439800227550145,0.165088493059163,0.0889871797994242,9.33758444904766e-05,0.0005602550669428,0.0,0.0,6.9895113466755,0.0,7.983171746,9.219436818,0.0,0.0,0.0,1.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-PC-Pectin,2,0.297530340484297,0.008367813439886,0.081567990140107,0.0001455271902588,0.210214026328964,0.0066214871567794,0.0993223073516913,0.0065487235616499,0.0161535181187366,0.182927678155423,0.0334712537595443,0.0,0.0399472137260649,7.27635951294442e-05,0.0,6.92898734974433,,,,0.0,0.0,0.0,1.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-PC-Pectin,3,0.200825673423659,0.0238311414902994,0.0425096037394531,0.0,0.20262911115806,0.0861785603081639,0.0164885735716666,6.44084905143228e-05,0.0792224433326171,0.143759750827969,0.0281465103547591,6.44084905143228e-05,0.198442559274629,0.0,0.0,7.00103319578349,0.0,8.3198452,34.637076144,0.0,0.0,0.0,1.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-FP-PJ-RI-Starch,0,0.0006666666666666,0.0006666666666666,0.0006666666666666,0.0005930666666666,0.0006666666666666,0.0006666666666666,0.0006666666666666,0.0006666666666666,0.0006666666666666,0.00045877778,0.0,0.0006666666666666,0.0,0.0006666666666666,0.0007277733333333,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-FP-PJ-RI-Starch,1,0.0114876664358932,0.0905228115148381,0.0006892599861535,0.0033697154878619,0.231055264247265,0.0225924106572566,0.0603485410098921,0.0006126755432476,0.0123300953078587,0.0584339299372432,0.0002297533287178,0.0935096047881704,0.0009190133148714,0.0027570399446143,0.0164656552247802,6.66117548804806,0.0,11.822707402,18.153680938,0.0,0.0,0.0,0.0,1.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-FP-PJ-RI-Starch,2,0.112321069330364,0.123827130091036,0.0008218614829051,0.0010958153105401,0.116567353658707,0.138346682955692,0.146291343957108,0.0001369769138175,0.0513663426815689,0.0576672807171747,0.0001369769138175,0.0094514070534086,0.0001369769138175,0.0009588383967226,0.0,6.57226490285535,,,,0.0,0.0,0.0,0.0,1.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-FP-PJ-RI-Starch,3,0.120101058498809,0.454103171332886,0.034854253772058,0.0,0.0610127632492467,0.167072333009619,0.122239356276236,0.0,0.0277265945139684,0.0252319137736371,0.0,0.0049893614806627,0.0002138297777426,0.0001425531851617,0.0,6.82182006431762,0.0,9.613355512,44.00737704,0.0,0.0,0.0,0.0,1.0,0.0
AC-BA-BH-BL-BU-CA-CH-EL-ER-FP-Inulin,0,0.0006666666666666,0.0006666666666666,0.0006666666666666,0.0005930666666666,0.0006666666666666,0.0006666666666666,0.0,0.0006666666666666,0.0,0.00045877778,0.0006666666666666,0.0006666666666666,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CH-EL-ER-FP-Inulin,1,0.129792887780478,0.0100148833163949,0.0044065486592137,0.0396589379329238,0.332894721436966,0.0286425662848894,0.0006008929989836,0.0070104183214764,0.0,0.206907489316719,0.247367617914954,0.0685018018841411,0.0004005953326557,0.0,0.0002002976663278,6.65970875548321,0.0,14.597194106,10.296124274,0.0,0.0,1.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CH-EL-ER-FP-Inulin,2,0.027482765174809,0.0016319931814019,0.0187352817224945,0.0731785742540638,0.200931000494209,0.0825788549789391,0.0,0.0162546520867635,6.52797272560783e-05,0.10137941642869,0.0776828754347332,0.005026538998718,0.0001958391817682,0.0,0.0,6.58442920069506,,,,0.0,0.0,1.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CH-EL-ER-FP-Inulin,3,0.0069743506078425,0.0117842475787684,0.0238089900060831,0.188307466411748,0.541834893774799,0.309035880381987,0.0007214845456388,0.0423270933441477,0.0007214845456388,0.0307833406139256,0.0081768248505739,0.0012024742427314,0.0,0.0,0.0,6.75795100477356,0.0,9.069619506,28.917334224,0.0,0.0,1.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-DF-EL-ER-FP-Inulin,0,0.0006666666666666,0.0006666666666666,0.0006666666666666,0.0005930666666666,0.0006666666666666,0.0006666666666666,0.0,0.0,0.0006666666666666,0.00045877778,0.0006666666666666,0.0006666666666666,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-DF-EL-ER-FP-Inulin,1,,,,,,,,,,,,,,,,6.6605648044993,0.0,17.117589269,14.778611584,0.0,0.0,1.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-DF-EL-ER-FP-Inulin,2,0.0384020842192212,0.0005284690488883,0.0070462539851782,0.0753949176414067,0.260447162927149,0.0327650810310786,0.0001761563496294,0.0,0.0616547223703092,0.0376093806458886,0.128946447928761,0.0322366119821903,0.0004403908740736,0.0,8.80781748147275e-05,6.53635647215128,,,,0.0,0.0,1.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-DF-EL-ER-FP-Inulin,3,0.0160791555215247,0.0009167939551746,0.0467564917139072,0.240764197151251,0.317351753714302,0.283500899984777,0.000141045223873,0.0,0.150918389544135,0.0578285417879395,0.0217914870883821,0.0167138590289533,0.0002115678358095,0.0,0.0,6.791142554581,0.0,8.157559739,36.1525716,0.0,0.0,1.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CC-ER-FP-RI-Inulin,0,0.0006666666666666,0.0006666666666666,0.0006666666666666,0.0005930666666666,0.0006666666666666,0.0,0.0006666666666666,0.0,0.0,0.0,0.0006666666666666,0.0006666666666666,0.0,0.0,0.0007277733333333,6.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CC-ER-FP-RI-Inulin,1,0.100188291139352,0.0036488328254455,0.0029685419596845,0.184049601500439,0.163826409400089,0.0,0.390486956946833,0.0,6.18446241600939e-05,6.18446241600939e-05,0.22381569483538,0.0139768850601812,0.0,0.0,0.0027830080872042,6.06317333667361,0.933145461,19.465703216,,0.0,0.0,1.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CC-ER-FP-RI-Inulin,2,0.0100704996184633,0.0009905409460783,0.0726396693790792,0.17417011635211,0.31870654940071,0.0009079958672384,0.359813998662962,0.0001650901576797,0.0,8.25450788398628e-05,0.124890704284712,0.0045399793361924,0.0409423591045719,0.0,0.0032192580747546,5.85820637615375,,,,0.0,0.0,1.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CC-ER-FP-RI-Inulin,3,0.0044031216140459,0.0003002128373213,0.0068715382764656,0.107642980670653,0.20034203343909,3.33569819245904e-05,0.107809765580276,0.0,6.67139638491808e-05,6.67139638491808e-05,0.102305863562719,0.0004336407650196,0.0134095067336853,0.0,0.0145436441191214,5.95505884705503,2.034655718,14.047411604,38.072366032,0.0,0.0,1.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CH-DF-EL-ER-FP-Inulin,0,0.0006666666666666,0.0006666666666666,0.0006666666666666,0.0005930666666666,0.0006666666666666,0.0,0.0,0.0006666666666666,0.0006666666666666,0.00045877778,0.0006666666666666,0.0006666666666666,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
