Well,Rep,Treatment,Species,Fiber,ACdesign,BAdesign,BHdesign,BLdesign,BUdesign,CAdesign,CCdesign,CHdesign,DFdesign,ELdesign,ERdesign,FPdesign,PCdesign,PJdesign,RIdesign,AcGum,ArGal,Inulin,Pectin,Starch,Xylan,time,ACrel,BArel,BHrel,BLrel,BUrel,CArel,CCrel,CHrel,DFrel,ELrel,ERrel,FPrel,PCrel,PJrel,RIrel,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,OD,pH,Lactate,Butyrate,Acetate,reads
33,1,AC-BA-BL-BU-CH-DF-ER-FP-RI-5Inulin-1Pectin,AC-BA-BL-BU-CH-DF-ER-FP-RI,5Inulin-1Pectin,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,5,1,0,0,0,0.111111111111111,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0,0.111111111111111,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0,0.111111111111111,0.000666666666666667,0.000666666666666667,0,0.000666666666666667,0.000666666666666667,0,0,0.000666666666666667,0.000666666666666667,0,0.000666666666666667,0.000666666666666667,0,0,0.000666666666666667,0.006,6.7,0,0,0,NaN
34,2,AC-BA-BL-BU-CH-DF-ER-FP-RI-5Inulin-1Pectin,AC-BA-BL-BU-CH-DF-ER-FP-RI,5Inulin-1Pectin,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,5,1,0,0,0,0.111111111111111,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0,0.111111111111111,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0,0.111111111111111,0.000666666666666667,0.000666666666666667,0,0.000666666666666667,0.000666666666666667,0,0,0.000666666666666667,0.000666666666666667,0,0.000666666666666667,0.000666666666666667,0,0,0.000666666666666667,0.006,6.7,0,0,0,NaN
35,3,AC-BA-BL-BU-CH-DF-ER-FP-RI-5Inulin-1Pectin,AC-BA-BL-BU-CH-DF-ER-FP-RI,5Inulin-1Pectin,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,5,1,0,0,0,0.111111111111111,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0,0.111111111111111,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0,0.111111111111111,0.000666666666666667,0.000666666666666667,0,0.000666666666666667,0.000666666666666667,0,0,0.000666666666666667,0.000666666666666667,0,0.000666666666666667,0.000666666666666667,0,0,0.000666666666666667,0.006,6.7,0,0,0,NaN
36,4,AC-BA-BL-BU-CH-DF-ER-FP-RI-5Inulin-1Pectin,AC-BA-BL-BU-CH-DF-ER-FP-RI,5Inulin-1Pectin,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,5,1,0,0,0,0.111111111111111,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0,0.111111111111111,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0,0.111111111111111,0.000666666666666667,0.000666666666666667,0,0.000666666666666667,0.000666666666666667,0,0,0.000666666666666667,0.000666666666666667,0,0.000666666666666667,0.000666666666666667,0,0,0.000666666666666667,0.006,6.7,0,0,0,NaN
37,1,AC-BA-BH-BL-BU-CC-CH-DF-ER-RI-5Inulin-1Pectin,AC-BA-BH-BL-BU-CC-CH-DF-ER-RI,5Inulin-1Pectin,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,5,1,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0.1,0,0,0,0.1,0.000666666666666667,0.000666666666666667,0.000666666666666667,0.000666666666666667,0.000666666666666667,0,0.000666666666666667,0.000666666666666667,0.000666666666666667,0,0.000666666666666667,0,0,0,0.000666666666666667,0.00666666666666667,6.7,0,0,0,NaN
38,2,AC-BA-BH-BL-BU-CC-CH-DF-ER-RI-5Inulin-1Pectin,AC-BA-BH-BL-BU-CC-CH-DF-ER-RI,5Inulin-1Pectin,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,5,1,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0.1,0,0,0,0.1,0.000666666666666667,0.000666666666666667,0.000666666666666667,0.000666666666666667,0.000666666666666667,0,0.000666666666666667,0.000666666666666667,0.000666666666666667,0,0.000666666666666667,0,0,0,0.000666666666666667,0.00666666666666667,6.7,0,0,0,NaN
39,3,AC-BA-BH-BL-BU-CC-CH-DF-ER-RI-5Inulin-1Pectin,AC-BA-BH-BL-BU-CC-CH-DF-ER-RI,5Inulin-1Pectin,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,5,1,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0.1,0,0,0,0.1,0.000666666666666667,0.000666666666666667,0.000666666666666667,0.000666666666666667,0.000666666666666667,0,0.000666666666666667,0.000666666666666667,0.000666666666666667,0,0.000666666666666667,0,0,0,0.000666666666666667,0.00666666666666667,6.7,0,0,0,NaN
40,4,AC-BA-BH-BL-BU-CC-CH-DF-ER-RI-5Inulin-1Pectin,AC-BA-BH-BL-BU-CC-CH-DF-ER-RI,5Inulin-1Pectin,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,5,1,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0.1,0,0,0,0.1,0.000666666666666667,0.000666666666666667,0.000666666666666667,0.000666666666666667,0.000666666666666667,0,0.000666666666666667,0.000666666666666667,0.000666666666666667,0,0.000666666666666667,0,0,0,0.000666666666666667,0.00666666666666667,6.7,0,0,0,NaN
41,1,AC-BA-BL-BU-CH-DF-ER-FP-RI-4Inulin-1Pectin-1Starch,AC-BA-BL-BU-CH-DF-ER-FP-RI,4Inulin-1Pectin-1Starch,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,4,1,1,0,0,0.111111111111111,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0,0.111111111111111,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0,0.111111111111111,0.000666666666666667,0.000666666666666667,0,0.000666666666666667,0.000666666666666667,0,0,0.000666666666666667,0.000666666666666667,0,0.000666666666666667,0.000666666666666667,0,0,0.000666666666666667,0.006,6.7,0,0,0,NaN
42,2,AC-BA-BL-BU-CH-DF-ER-FP-RI-4Inulin-1Pectin-1Starch,AC-BA-BL-BU-CH-DF-ER-FP-RI,4Inulin-1Pectin-1Starch,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,4,1,1,0,0,0.111111111111111,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0,0.111111111111111,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0,0.111111111111111,0.000666666666666667,0.000666666666666667,0,0.000666666666666667,0.000666666666666667,0,0,0.000666666666666667,0.000666666666666667,0,0.000666666666666667,0.000666666666666667,0,0,0.000666666666666667,0.006,6.7,0,0,0,NaN
43,3,AC-BA-BL-BU-CH-DF-ER-FP-RI-4Inulin-1Pectin-1Starch,AC-BA-BL-BU-CH-DF-ER-FP-RI,4Inulin-1Pectin-1Starch,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,4,1,1,0,0,0.111111111111111,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0,0.111111111111111,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0,0.111111111111111,0.000666666666666667,0.000666666666666667,0,0.000666666666666667,0.000666666666666667,0,0,0.000666666666666667,0.000666666666666667,0,0.000666666666666667,0.000666666666666667,0,0,0.000666666666666667,0.006,6.7,0,0,0,NaN
