SampleNo,Timepoint,Group,Rep,VFA,umol_g
1,3,1,1,Acetate,34.4740909090909
2,3,1,2,Acetate,32.373
3,3,1,3,Acetate,24.2147368421053
4,3,1,4,Acetate,61.8471428571429
5,3,1,5,Acetate,40.0010869565217
6,3,2,1,Acetate,46.1892857142857
7,3,2,2,Acetate,33.3578571428571
8,3,2,3,Acetate,22.5529411764706
9,3,2,4,Acetate,24.84
10,3,2,5,Acetate,13.4754545454545
11,6,1,1,Acetate,50.13
12,6,1,2,Acetate,46.332
13,6,1,3,Acetate,35.586
14,6,1,4,Acetate,50.0155714285714
15,6,1,5,Acetate,40.0009090909091
16,6,2,1,Acetate,21.1110810810811
17,6,2,2,Acetate,16.5410526315789
18,6,2,3,Acetate,341.685
19,6,2,4,Acetate,28.296
20,6,2,5,Acetate,12.8804210526316
1,3,1,1,Butyrate,0.130118181818182
2,3,1,2,Butyrate,0.07707
3,3,1,3,Butyrate,0.0402734210526316
4,3,1,4,Butyrate,0.0281366666666667
5,3,1,5,Butyrate,0.0423645652173913
6,3,2,1,Butyrate,0.0314571428571429
7,3,2,2,Butyrate,0.0107478571428571
8,3,2,3,Butyrate,0.0207247058823529
9,3,2,4,Butyrate,0.009909
10,3,2,5,Butyrate,0.0240218181818182
11,6,1,1,Butyrate,0.038535
12,6,1,2,Butyrate,0.0335805
13,6,1,3,Butyrate,0.033764
14,6,1,4,Butyrate,0.0199752857142857
15,6,1,5,Butyrate,0.03303
16,6,2,1,Butyrate,0.00714162162162162
17,6,2,2,Butyrate,0.00985105263157894
18,6,2,3,Butyrate,
19,6,2,4,Butyrate,0.041838
20,6,2,5,Butyrate,0.0639738947368421
1,3,1,1,Hexanoate,0.00885477272727273
2,3,1,2,Hexanoate,0
3,3,1,3,Hexanoate,0.008325
4,3,1,4,Hexanoate,0.00367357142857143
5,3,1,5,Hexanoate,0.00448826086956522
6,3,2,1,Hexanoate,0.0174825
7,3,2,2,Hexanoate,0.0102675
8,3,2,3,Hexanoate,0.01998
9,3,2,4,Hexanoate,0.01057275
10,3,2,5,Hexanoate,0.00766909090909091
11,6,1,1,Hexanoate,0.01776
12,6,1,2,Hexanoate,0.00790875
13,6,1,3,Hexanoate,0.008769
14,6,1,4,Hexanoate,0.00180771428571429
15,6,1,5,Hexanoate,0.00605454545454545
16,6,2,1,Hexanoate,0.0054
17,6,2,2,Hexanoate,0.00420631578947368
18,6,2,3,Hexanoate,0.021645
19,6,2,4,Hexanoate,0.04329
20,6,2,5,Hexanoate,0.00175263157894737
1,3,1,1,Isobutyrate,0.129054545454545
2,3,1,2,Isobutyrate,0.131586
3,3,1,3,Isobutyrate,0.0958373684210526
4,3,1,4,Isobutyrate,0.0921266666666667
5,3,1,5,Isobutyrate,0.11193
6,3,2,1,Isobutyrate,0.05616
7,3,2,2,Isobutyrate,0.06825
8,3,2,3,Isobutyrate,0.0449647058823529
9,3,2,4,Isobutyrate,0.04914
10,3,2,5,Isobutyrate,0.0792527272727273
11,6,1,1,Isobutyrate,0.111475
12,6,1,2,Isobutyrate,0.06552
13,6,1,3,Isobutyrate,0.084084
14,6,1,4,Isobutyrate,0.09633
15,6,1,5,Isobutyrate,0.113005454545455
16,6,2,1,Isobutyrate,0.0461886486486486
17,6,2,2,Isobutyrate,0.0533547368421053
