Well,Row,Col,MouseRep,Community,Diet,SampleNo,ACdesign,BAdesign,BHdesign,BLdesign,BUdesign,CHdesign,DFdesign,FPdesign,RIdesign,ACrel,BArel,BHrel,BLrel,BUrel,CHrel,DFrel,FPrel,RIrel,Treatment,shDiv
1,A,1,1,AC-BA-BH-BL-BU-CH-DF-FP-RP,Inulin-Pectin-Xylan,1,1,1,1,1,1,1,1,1,1,0.000278040371461936,0.230106211421898,0,0.758605349496747,0.00483790246343769,0.00205749874881833,0,0,0,Inulin-Pectin-Xylan,0.586762909642527
2,B,1,1,AC-BA-BH-BL-BU-CH-DF-FP-RP,Inulin-Pectin-Xylan,2,1,1,1,1,1,1,1,1,1,0.0245445207330919,0.241066118830081,0.0709304211493756,0.367681245607396,0.251986808671676,0.0369249067416338,0,0,0,Inulin-Pectin-Xylan,1.46185761318208
3,C,1,1,AC-BA-BH-BL-BU-CH-DF-FP-RP,Inulin-Pectin-Xylan,3,1,1,1,1,1,1,1,1,1,0.0124226536299655,0.168154551036796,0.0962165226016721,0.171602664021539,0.524113173680979,0.0145482027301497,0.00439280147371404,0,0,Inulin-Pectin-Xylan,1.30869572460218
4,D,1,1,AC-BA-BH-BL-BU-CH-DF-FP-RP,Inulin-Pectin-Xylan,4,1,1,1,1,1,1,1,1,1,0.0207584426105007,0.166877626449294,0.0920459723558301,0.186876613842337,0.498962077869475,0.0123538048706395,0.00415168852210015,0.00815148600070882,0.00303782086982938,Inulin-Pectin-Xylan,1.39571212950682
5,E,1,1,AC-BA-BH-BL-BU-CH-DF-FP-RP,Inulin-Pectin-Xylan,5,1,1,1,1,1,1,1,1,1,0.0286945042729104,0.154172167025637,0.0834433405127493,0.174529285069131,0.516501076912388,0.0123671229069687,0.0051413881748072,0.0143819912457445,0.00215382477593275,Inulin-Pectin-Xylan,1.4024558665346
6,F,1,1,AC-BA-BH-BL-BU-CH-DF-FP-RP,Inulin-Pectin-Xylan,6,1,1,1,1,1,1,1,1,1,0.0364822695035461,0.149219858156028,0.0820992907801418,0.164425531914894,0.526468085106383,0.00919148936170213,0.00748936170212766,0.0147517730496454,0.00238297872340426,Inulin-Pectin-Xylan,1.40389278543834
7,G,1,1,Blank,None,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,None,-0
8,H,1,1,Blank,None,0,1,1,1,1,1,1,1,1,1,0,0,0.2,0,0.6,0,0,0,0,None,0.562335144618808
9,A,2,2,AC-BA-BH-BL-BU-CH-DF-FP-RP,Inulin-Pectin-Xylan,1,1,1,1,1,1,1,1,1,1,0.00332399449166627,0.262405622299254,9.49712711904649e-05,0.726720167149437,0.00137708343226174,0.00199439669499976,0,0,0,Inulin-Pectin-Xylan,0.622830366052884
10,B,2,2,AC-BA-BH-BL-BU-CH-DF-FP-RP,Inulin-Pectin-Xylan,2,1,1,1,1,1,1,1,1,1,0.014230464101547,0.455573185243951,0.0687723125743752,0.378718762395875,0.0524097580325268,0.0229075763585879,0.000198333994446648,0,0,Inulin-Pectin-Xylan,1.21481147117081
