Well,Row,Col,MouseRep,Community,Diet,SampleNo,BAdesign,BLdesign,CCdesign,CHdesign,DFdesign,ERdesign,FPdesign,PCdesign,BArel,BLrel,CCrel,CHrel,DFrel,ERrel,FPrel,PCrel,Treatment,shDiv
1,A,1,1,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,1,1,1,1,1,1,1,1,1,0.921364237576368,0.0670151791900233,0,0.00053536562322857,0,0,0,0,Xylan,0.25239764005914
2,B,1,1,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,3,1,1,1,1,1,1,1,1,0.931609974813872,0.0638233096233152,0,2.76770640170491e-05,0,0,0,2.76770640170491e-05,Xylan,0.238771733342288
3,C,1,1,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,5,1,1,1,1,1,1,1,1,0.880286922725194,0.0213763145861911,0,0.0474679926840421,0.0109453589391861,0.0363511659807956,5.71559213534522e-05,0,Xylan,0.507851446167244
9,A,2,2,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,1,1,1,1,1,1,1,1,1,0.895157914321596,0.098981347969673,0,0,4.65137913391321e-05,0,0,0,Xylan,0.324623916822182
10,B,2,2,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,3,1,1,1,1,1,1,1,1,0.94250926754442,0.0544228556819634,0,3.19570497251694e-05,0,3.19570497251694e-05,0,0,Xylan,0.212529452920726
11,C,2,2,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,5,1,1,1,1,1,1,1,1,0.889310324859575,0.0354392263593723,0,0.025884532978169,0.0206728820429672,0.018182871040593,0.00726735769297585,0,Xylan,0.504511882757973
17,A,3,3,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,1,1,1,1,1,1,1,1,1,0.813498853252758,0.143871273071462,0,0.000291237394881503,3.64046743601878e-05,0,0,0,Xylan,0.426237103329581
18,B,3,3,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,3,1,1,1,1,1,1,1,1,0.964561241739665,0.0332257568772092,0,0,6.14722606423851e-05,6.14722606423851e-05,0,0,Xylan,0.147330254363859
19,C,3,3,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,5,1,1,1,1,1,1,1,1,0.918392635864755,0.012539092464743,0,0.0362896087803151,0.00159320233669676,0.0220688027379477,0.00699238803328023,0,Xylan,0.381250381629743
25,A,4,4,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,1,1,1,1,1,1,1,1,1,0.914666562426706,0.0736455320146978,0,0.00027362989602064,0,0,0,0,Xylan,0.267638891736837
26,B,4,4,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,3,1,1,1,1,1,1,1,1,0.930733043111923,0.0670551888779666,0,3.51074287319197e-05,0,0,0,3.51074287319197e-05,Xylan,0.247119938188117
27,C,4,4,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,5,1,1,1,1,1,1,1,1,0.889379168804515,0.0157003591585428,0,0.0408756627330255,0.0186762442278091,0.0271592269539935,0.00673849837523516,0,Xylan,0.505415914913192
33,A,5,5,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,1,1,1,1,1,1,1,1,1,0.945858267716535,0.0471181102362205,0,0.000220472440944882,3.1496062992126e-05,0,0,0,Xylan,0.193342687381491
34,B,5,5,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,3,1,1,1,1,1,1,1,1,0.952204202832344,0.0459970306075834,0,0,0,0,0,0,Xylan,0.186806871464191
35,C,5,5,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,5,1,1,1,1,1,1,1,1,0.942787682333874,0.0114802809292274,0,0.0245813074014046,0.00272825499729876,0.0139113992436521,0.00321447866018368,2.70124257158293e-05,Xylan,0.291336444062103
41,A,6,1,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,2,1,1,1,1,1,1,1,1,0.923383414958081,0.0739603220718851,0,0,0,0,0,0,Xylan,0.264262215963097
42,B,6,1,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,4,1,1,1,1,1,1,1,1,0.791337430494586,0.0493122622183202,0,0.0765657009072286,0.00428007023705004,0.0690664325431665,0.00446297922153936,0,Xylan,0.761263884757698
43,C,6,1,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,6,1,1,1,1,1,1,1,1,0.942304886943837,0.0382932166301969,0,0.0106856309263311,0.00350109409190372,0.00149525893508388,0.000802334062727936,0,Xylan,0.262525821456691
49,A,7,2,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,2,1,1,1,1,1,1,1,1,0.861685214626391,0.13059750927398,0,0,0,0,0,0,Xylan,0.389441877151036
50,B,7,2,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,4,1,1,1,1,1,1,1,1,0.703703703703704,0.037037037037037,0,0,0.037037037037037,0,0,0,Xylan,0.380506218477595
51,C,7,2,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,6,1,1,1,1,1,1,1,1,0.928661783308328,0.0134145265201659,0,0.0209454887771012,0.0169740828994205,0.0172976789338982,0,0,Xylan,0.345136918239735
57,A,8,3,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,2,1,1,1,1,1,1,1,1,0.878329426805881,0.114364859517214,0,0,3.04404736537701e-05,0,0,0,Xylan,0.357602633323296
58,B,8,3,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,4,1,1,1,1,1,1,1,1,0.886351172618472,0.0443240104519501,0,0.0404851769411917,0.00432272008774477,0.0219684505951805,0.00035485015645666,0,Xylan,0.483984078885755
59,C,8,3,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,6,1,1,1,1,1,1,1,1,0.972967791411043,0.0164877300613497,0,0.00824386503067485,0.000383435582822086,0,0,0,Xylan,0.135264565067201
65,A,9,4,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,2,1,1,1,1,1,1,1,1,0.903467822607536,0.0914304768256085,0,0,0,0,3.33444481493831e-05,0,Xylan,0.307278814026946
66,B,9,4,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,4,1,1,1,1,1,1,1,1,0.889848035248629,0.0544315559152354,0,0.0331804693822498,0.00815274405778857,0.00920181038875401,0.00212810598567275,0,Xylan,0.469121182990085
67,C,9,4,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,6,1,1,1,1,1,1,1,1,0.8764586427424,0.0119722365350226,0,0.0374321825841845,0.0166702027702846,0.0294911041736126,0.0190949595368715,0.00721365138059588,Xylan,0.574145756997374
73,A,10,5,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,2,1,1,1,1,1,1,1,1,0.93868913714874,0.0563160102184771,0,0,0,0,0,0,Xylan,0.217504332035512
74,B,10,5,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,4,1,1,1,1,1,1,1,1,0.874774560179671,0.0317487324327083,0,0.0278694660904482,0.0181372715826726,0.0408343825501072,0.00326675060400858,0,Xylan,0.546846419472396
75,C,10,5,BA-BL-CC-CH-DF-ER-FP-PC,Xylan,6,1,1,1,1,1,1,1,1,0.9236906775604,0.00900009574569942,0,0.0259789997765934,0.0105958574027383,0.0249577123160885,0.00188299875530591,0.00201065968786902,Xylan,0.373965389752264
