Experiments,ACabs<--ACabs,ACabs<--BAabs,ACabs<--BHabs,ACabs<--BLabs,ACabs<--BUabs,ACabs<--CAabs,ACabs<--CCabs,ACabs<--CHabs,ACabs<--DFabs,ACabs<--ELabs,ACabs<--ERabs,ACabs<--FPabs,ACabs<--PCabs,ACabs<--PJabs,ACabs<--RIabs,ACabs<--pH,ACabs<--Lactate,ACabs<--Butyrate,ACabs<--Acetate,ACabs<--AcGum,ACabs<--ArGal,ACabs<--Inulin,ACabs<--Pectin,ACabs<--Starch,ACabs<--Xylan,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
"*AC, *AcGum",-0.019370434092865742,0.002466572305526246,0.00013442651453343313,0.0007814059448851787,0.0025563881122930487,-0.004017445412887768,-0.006613031414083459,-0.0006295381545681845,3.4508573060686234e-05,-0.0002150878826664256,-0.008819051964885808,0.0009071723388677295,0.002825183675370432,0.0031135438662022352,-0.0005169377662241462,-0.007844521371139722,0.0,0.0,0.0,-9.971653026613342e-05,0.0019088897185230798,-0.009587108502164486,0.001619985753839666,0.005568856690925631,0.0005152931843291624,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.2,0.2,0.2,0.2,0.2
"*AC, *ArGal",-0.018894164393740625,0.002122940010475842,-0.00010201605798845943,0.00266003042459488,0.0016428463550453838,-0.0033184344948015425,-0.005202005080540071,-0.00041179237125272113,-7.896654731170743e-05,0.0023146549637683414,-0.00810169500044801,0.00100097540427338,-0.0012097950449044053,0.0022246915584599436,-0.001041765056381171,-0.009561680294573306,0.0,0.0,0.0,0.0023986184105954382,-0.00017018194564364208,-0.006571104773743586,0.001538674381815574,0.0044604800971732896,-0.0009809478152204639,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.0,0.2,0.2,0.2,0.2
"*AC, *Inulin",-0.011845325402576816,0.00233753372407095,6.646633656187551e-05,0.0008668297808617362,0.0018619916249405259,-0.00355693784203719,-0.006772212367504837,-0.0006232562965967435,5.586289462040825e-05,0.0016642761755396016,-0.006957831354811789,0.0009917859157378024,-0.0008024273050779649,0.001137679804285819,-0.0010679368031295867,-0.007908751320263202,0.0,0.0,0.0,0.002354466799985279,0.0004754550458694039,-0.01350285166366534,0.0003952466942031269,0.005155367948622867,0.0003939292063428594,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.0,0.2,0.2,0.2
"*AC, *Pectin",-0.0016232005345889115,0.001423339798877185,0.00023078833029351414,0.0018692119004712863,0.0026301348793574364,-0.0033042857965285134,-0.005840092331001706,-0.0008180219434540379,0.00010133598253808237,-0.0020907320293851867,-0.009151125710288232,0.0006518724230541423,0.0009266123836013401,0.00333287555555051,-0.0006689570581709794,-0.011669755504381927,0.0,0.0,0.0,0.0023699177877808154,3.08312763544649e-05,-0.005742488107220694,-0.014555252809924162,0.006126503151926129,0.0004898514903404493,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.0,0.2,0.2
"*AC, *Starch",-0.021011588528582995,0.002169242583384569,4.385642707347872e-05,0.0015340427774935958,0.0015355761874128473,-0.0031447892593727874,-0.005216965772719545,-0.0005936439013616602,0.0001970331811092115,0.0007599077221344814,-0.00810605282895267,0.0006162474778565495,0.003634321327236566,0.002806366715072231,-0.0008695388703861019,-0.007877013166011736,0.0,0.0,0.0,0.002231666187501766,0.001135525354607538,-0.004824242350560697,0.0016617017163133082,-0.0027802635102786803,0.0008179679275913672,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.0,0.2
"*AC, *Xylan",-0.016643676146526225,0.00222762338986451,0.00016383498907089188,0.0013285434643991968,0.002625034609809517,-0.0037529178708791727,-0.007078301407904788,-0.0006216053656217719,-4.288926720620558e-07,0.0014173108550973913,-0.00991788425313478,0.0008196407844397153,0.00039559429426762246,0.002128773017532447,-0.001226299820806492,-0.008493968057869509,0.0,0.0,0.0,0.0024135976868935607,0.00014111529612405714,-0.00895850943401456,0.001814880192449147,0.005358309590003708,0.0005786831439896063,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.2,0.0
"*AC, AcGum",-0.004370385442267764,0.0024004061689431025,0.00014861190691590337,0.0020231773280961944,0.002361258433454416,-0.0021592403999106456,-0.00509662253020162,-0.0003469454454766076,-0.00015042442743751132,0.0019878611485050486,-0.0056756110777231765,0.00016680584204467846,0.0057829553354531524,0.0007771922139958899,-0.00047680708749050414,-0.011454132626002483,0.0,0.0,0.0,0.005049580974843014,-0.00030261310410093184,-0.011295938665385948,-0.013405442632396115,-0.0033180280097506263,0.0020737004711885334,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,1.0,0.0,0.0,0.0,0.0,0.0
"*AC, ArGal",-0.008937208339233291,0.0017331754958087745,0.0007645097307183526,0.0006522028249773115,0.0020199714998968624,-0.003090771028602665,-0.006205999022349715,-6.13251734863628e-05,-9.752972813492428e-05,0.0029140401318330663,-0.005533072794364258,0.00010131426917558342,0.0037911151078614327,0.0021287321527911863,-0.0005252729788083925,-0.007570315408097072,0.0,0.0,0.0,0.0003235408096489587,0.005732360523702068,-0.010804383137517354,-0.01328466732986271,-0.001674208106811751,0.0023431509623134676,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,1.0,0.0,0.0,0.0,0.0
"*AC, Inulin",-0.030668815714730454,0.0017618020192127339,0.0011704253693195909,0.0006053056881170382,0.008605511059815234,-0.003893897601995955,-0.006047972928393971,-4.590702158483556e-05,0.00018839609385891347,0.0006839807898822149,-0.007281161903149702,0.0006266684466126293,0.005378623079847206,0.002766047736460512,-6.974932991645498e-05,-0.010795724985443733,0.0,0.0,0.0,-0.000681010578674348,-0.0018891528680581942,0.022105326602574103,-0.014520094696940348,-0.003567725216800517,0.00028849305669692365,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,1.0,0.0,0.0,0.0
"*AC, Pectin",-0.10277667864649134,0.0033212052277204677,0.0006258467474783009,0.0019533613027835463,-0.0001936735500666228,-0.004090572192587637,-0.007157283567569473,-0.00022487050599672727,0.0004909689174118383,0.0011862043875523582,-0.008592340439896692,0.0003892628467557098,-0.0005449348611926487,0.0024482869788665664,-0.0009979056846350432,-0.0033865302022207874,0.0,0.0,0.0,-0.0002876123582774946,0.0004937914521856757,-0.009157376735555854,0.09180188487876545,-0.002947505672716282,0.0023658325176008723,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,1.0,0.0,0.0
