Experiments,BAabs<--ACabs,BAabs<--BAabs,BAabs<--BHabs,BAabs<--BLabs,BAabs<--BUabs,BAabs<--CAabs,BAabs<--CCabs,BAabs<--CHabs,BAabs<--DFabs,BAabs<--ELabs,BAabs<--ERabs,BAabs<--FPabs,BAabs<--PCabs,BAabs<--PJabs,BAabs<--RIabs,BAabs<--pH,BAabs<--Lactate,BAabs<--Butyrate,BAabs<--Acetate,BAabs<--AcGum,BAabs<--ArGal,BAabs<--Inulin,BAabs<--Pectin,BAabs<--Starch,BAabs<--Xylan,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
"*AC, *AcGum",-0.010574777646159585,0.06357908838682554,0.003806653911755843,0.001004249419678343,0.004262133767320353,0.0004831440645185408,-0.015961057118732823,0.0009666473333808501,0.0008917100490494208,0.029340857003222812,0.0016429265554655688,-0.0018991656669161577,-0.002263829523528162,-0.004340743475000967,0.0020233795148405158,-0.04748832853002982,0.0,0.0,0.0,-0.026077236995439644,0.008917449269105085,0.013685744641856713,0.004445176690139555,-0.001215567717497999,0.025700206505981357,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.2,0.2,0.2,0.2,0.2
"*AC, *ArGal",-0.0077762226218527014,0.07901924751529639,0.005160134829242124,0.0016871741837398613,0.0072261325100606115,-0.001889866006306626,-0.01735426059839401,0.0002734932896088479,0.0006022804264317875,0.02837780338966034,0.002783843053674155,-0.0016789838942614466,-0.001687149446118963,-0.005150268389420076,0.001423244327306748,-0.044032780754972585,0.0,0.0,0.0,0.023689728575673974,-0.0030006174370646455,0.008769096567888154,0.004171467684209345,-0.0017021365396001095,0.02037298180162907,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.0,0.2,0.2,0.2,0.2
"*AC, *Inulin",-0.00564604614437981,0.06915916501798414,0.0040562471324069906,0.0011067585951902647,0.005174168263646689,-0.0009826685793020513,-0.017550831902772193,0.0017459686845541,0.0016060350530526896,0.015005937323651531,0.003477443145080047,-0.0012881940196860944,-0.00029543209651654393,-0.0044847848791290425,0.002219385315071455,-0.05498919326134702,0.0,0.0,0.0,0.019258395919406954,0.005710536497221753,-0.026567968810823826,0.004301748170771385,-0.00135185892778364,0.021980760348114102,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.0,0.2,0.2,0.2
"*AC, *Pectin",-0.012826512464406819,0.07381054140796715,0.00727333181791685,0.003753683440048587,0.006364965250884943,-0.0008988473462787559,-0.020017410650510672,0.0021593566492877202,0.001253258294679902,0.02829572589559988,0.0009969277950850437,-0.0020698476752096977,-0.000953365662558513,-0.005936693806539883,0.0019954827495596594,-0.0478401348435066,0.0,0.0,0.0,0.0214859079180116,0.008172716999595818,0.008334222126074816,-0.007969076743518766,0.0034759757989509597,0.0232493857903914,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.0,0.2,0.2
"*AC, *Starch",-0.009349838585000145,0.06160874422131613,0.008556671206924047,0.0007471799359402908,0.006726260141215542,6.078192286870787e-05,-0.020084516441618853,0.0014343493279408315,0.0015517673793841475,0.019068860679187557,0.003951550573110581,-0.0018686439181593351,0.002202556246722285,-0.005154332814907489,0.0018651514754376658,-0.04515891409225085,0.0,0.0,0.0,0.021026675525036728,0.007624297020110221,0.010165557324547658,0.005171943698078395,-0.050467560977082354,0.02038275971331379,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.0,0.2
"*AC, *Xylan",-0.01558295706795021,0.06349970236589965,0.007555388418788259,0.0014007438262077906,0.0055137470415370015,-0.00028175695037299946,-0.021631785842844028,0.0019501368752257407,0.0016585413146425374,0.022896610596640544,0.0005433589592576042,-0.0018439421819692293,-0.0014623744091527,-0.004874628015201201,0.0009624572758647552,-0.04853549141775479,0.0,0.0,0.0,0.027456745534119274,0.0064326418275860225,0.013069044173779814,0.0030486522090028643,-0.0021723388101566933,-0.03724367965859446,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.2,0.0
"*AC, AcGum",-0.009144005604426967,0.08940309517932209,0.004973624301227653,0.0010702741264619652,0.0021102174659344258,-0.0014204346930438783,-0.01688930677419359,0.0013047497093000222,0.0013425031135028077,0.0059347902610898005,0.001926143147389997,-0.0009670392356135609,-0.0019390895082191965,-0.005806819427419793,0.0017433211512186333,-0.038201695011759344,0.0,0.0,0.0,0.19382463867014102,0.0010270673273639261,-0.04118128779936921,-0.009044141059910712,-0.04562048128552057,-0.03577475212006406,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,1.0,0.0,0.0,0.0,0.0,0.0
"*AC, ArGal",-0.002804694626141677,0.039410382725975725,0.002128380611538888,-0.0009057458964261137,0.003204872074790977,0.00011128737675872823,-0.009489899248900742,0.002902654692191971,0.00033969758078455995,0.010004065421155908,-0.0008560807105492487,-0.0008307167786088845,-0.0009009394134310168,-0.0014619209295646711,0.0002764009836722497,-0.02798974210735072,0.0,0.0,0.0,-0.01774352799085054,0.010995526901361614,-0.016806991745463823,-0.0056359164128926675,-0.03969476131891662,-0.03161980168216608,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,1.0,0.0,0.0,0.0,0.0
"*AC, Inulin",-0.010622542517429046,0.041947699807245616,-0.0008072452636604943,0.0016153666868128575,0.0024945531396025965,-0.0022553337246856895,-0.005939350241625852,-0.0006585623323917399,8.187233047051845e-05,0.007978236663409256,-0.00216861673884771,-0.0008217163621024665,-0.005455098863352429,-0.0021348126131025217,7.370742207223634e-05,-0.0159867667728527,0.0,0.0,0.0,-0.031021689632060857,-0.0007835048115388912,0.004265773132104763,-0.004608817207203669,-0.034314248616045165,-0.028246390668844643,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,1.0,0.0,0.0,0.0
"*AC, Pectin",0.004145977784964172,0.047601191479374055,0.0022877778045155774,-0.0011429568921977815,0.000499994514340705,-0.0008993764644996681,-0.012561924554068933,-0.0027131516080011017,0.0004205389016053915,0.00694054499776526,-0.002303966085680506,-0.0032950729182498026,-0.007651889921927995,-0.0021704783730886203,-0.0005361046591265635,-0.029221680518239743,0.0,0.0,0.0,-0.023784199941226027,-0.0015037369999018587,-0.003290677029978144,0.019084591398184948,-0.04644220255992629,-0.030830670712007704,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,1.0,0.0,0.0
