Experiments,BUabs<--ACabs,BUabs<--BAabs,BUabs<--BHabs,BUabs<--BLabs,BUabs<--BUabs,BUabs<--CAabs,BUabs<--CCabs,BUabs<--CHabs,BUabs<--DFabs,BUabs<--ELabs,BUabs<--ERabs,BUabs<--FPabs,BUabs<--PCabs,BUabs<--PJabs,BUabs<--RIabs,BUabs<--pH,BUabs<--Lactate,BUabs<--Butyrate,BUabs<--Acetate,BUabs<--AcGum,BUabs<--ArGal,BUabs<--Inulin,BUabs<--Pectin,BUabs<--Starch,BUabs<--Xylan,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
AC-AcGum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AC-AcGum-ArGal-Inulin-Pectin-Starch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0
AC-AcGum-ArGal-Inulin-Pectin-Xylan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.2
AC-AcGum-ArGal-Inulin-Starch-Xylan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.2
AC-AcGum-ArGal-Pectin-Starch-Xylan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2
AC-AcGum-Inulin-Pectin-Starch-Xylan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.2
AC-ArGal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AC-ArGal-Inulin-Pectin-Starch-Xylan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-AcGum,0.010753302194643766,-0.029238533694297075,0.01033207995351404,0.009107284888159484,0.04304964025504887,-0.010277895024046302,-0.008154080249369144,0.019190538325347006,0.0077842846512794495,0.06771003757603467,-0.01305492001120001,0.0007100750226527452,0.029681369895115495,0.0011497920495457947,0.0,0.0,0.0,0.0,0.0,0.04904121911386028,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-AcGum-ArGal-Inulin-Pectin-Starch,-0.01115960938235124,-0.0411956567162027,0.014471654159327349,0.00484133946398894,0.09836444452715416,-0.028032079183806975,0.013913390381882587,0.028554140124469995,0.010064416099339724,0.0890030429388086,-0.03768962497512499,-0.003924307879060507,0.02748579454297821,0.006120531043658654,0.0,0.0,0.0,0.0,0.0,0.015264401367555061,0.02797469807167848,0.02365755996045967,0.03456467824677626,0.013742270801837245,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0
