Experiments,CAabs<--ACabs,CAabs<--BAabs,CAabs<--BHabs,CAabs<--BLabs,CAabs<--BUabs,CAabs<--CAabs,CAabs<--CCabs,CAabs<--CHabs,CAabs<--DFabs,CAabs<--ELabs,CAabs<--ERabs,CAabs<--FPabs,CAabs<--PCabs,CAabs<--PJabs,CAabs<--RIabs,CAabs<--pH,CAabs<--Lactate,CAabs<--Butyrate,CAabs<--Acetate,CAabs<--AcGum,CAabs<--ArGal,CAabs<--Inulin,CAabs<--Pectin,CAabs<--Starch,CAabs<--Xylan,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
"*AC, *AcGum",-0.0622700088437308,0.0033925448324192667,-0.031321556195616725,-0.019436020236462348,-0.008729491606354715,0.08691930532794107,-0.008174580880864103,-0.013510940931737426,-0.004736306487836623,-0.05839110933074897,0.04297539917074821,-0.01521048077805476,-0.0019984673268415706,-0.0023000729642808425,-0.006664030164141548,0.08125887952236967,0.0,0.0,0.0,0.027565478127111097,-0.04491803995079616,0.0179296363026581,-0.021164638362824915,0.021260700449347494,-0.1097029086913575,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.2,0.2,0.2,0.2,0.2
"*AC, *ArGal",-0.08762726649472657,-0.007764964242550462,-0.03932413802566854,-0.013049292366274385,-0.016599299511448905,0.08454067156057467,-0.006966346414251761,-0.02083576705645431,-0.0032381556589495073,-0.059593035748059096,0.03299484799531374,-0.013073170970786698,0.007838398881933904,0.001993738807399159,-0.006400127766484563,0.09414191936227408,0.0,0.0,0.0,-0.014832750538533385,0.022952449199828237,0.018318574206734245,-0.041527107750827616,0.014857360419224608,-0.07403325011107055,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.0,0.2,0.2,0.2,0.2
"*AC, *Inulin",-0.0467447447099469,-0.014965568408370015,-0.014909149198369552,-0.023753658047115257,-0.003031935356557369,0.08205430086871439,-0.004736749873581256,-0.027617929320443768,-0.012898823290385985,-0.07174670768901707,0.028001395797526304,-0.015833288945934984,0.011658974924886767,0.020495796864005652,-0.010436297990381717,0.09008248214355923,0.0,0.0,0.0,-0.03308603770522908,-0.03671044466509061,0.02635246190665798,-0.015410633991387757,-0.012585225819864055,-0.04140493881973353,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.0,0.2,0.2,0.2
"*AC, *Pectin",-0.06841385329650208,0.002214743928475818,-0.029451135335998104,-0.005524247393689376,-0.011780971762808883,0.08692397277294237,-0.01870117754760113,-0.010597000393000515,-0.02572167072614485,-0.07261199991134082,0.030092149151658476,-0.021121787521988154,0.0036874999072064,0.0027422644451937967,-0.011230510620569642,0.09837162098085339,0.0,0.0,0.0,-0.022313566290858122,-0.0519029354033145,0.014002918744967736,0.02152400115335529,0.01354636885225773,-0.05096139551563695,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.0,0.2,0.2
"*AC, *Starch",-0.031835710562088275,-0.0017638626864010653,-0.015831229144876655,-0.00379459711977027,-0.020168510609391063,0.07454717190428213,-0.006191022917628287,-0.00867586969990622,-0.01917838627303188,-0.059348966613073234,0.027350959659300067,-0.016956981183453037,0.0071300209415229914,0.00316008260981603,-0.003561287989670582,0.08478695050220598,0.0,0.0,0.0,-0.011489401117644526,-0.046746249669654814,-0.015062836093658745,-0.015577129240740433,-0.004512330757623368,-0.04350752217187123,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.0,0.2
"*AC, *Xylan",-0.05634397390891204,-0.005944850590418688,-0.027593353146856483,-0.01301011955704201,-0.024639586335556074,0.09614340877837756,-0.03541125277565283,-0.011319914128292693,-0.008208516135134484,-0.06209461705251174,0.038679429560222404,-0.033405022167346705,-0.007707772219384256,0.0016321069814942079,-0.01647982605817643,0.12941106488081544,0.0,0.0,0.0,-0.03921250639314001,-0.03763107084076513,-0.012739637385715142,-0.04367028901522811,0.015007315848700025,0.027312258227982302,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.2,0.0
"*AC, AcGum",-0.04533509118990465,-0.005350255400619721,-0.009463260114531628,-0.0014673914015293117,-0.008921277922662825,0.06497426662255418,-0.004054416028613391,-0.020197096690535543,-0.010682146005671132,-0.0361574160460044,0.021538351980799984,-0.010313173546032471,0.005256874998184769,-0.0007083097777583389,-0.0034239228120581653,0.06341617839072239,0.0,0.0,0.0,-0.1620881815982813,0.012048706320876424,0.010809583215212281,0.011720533330332149,-0.016988043183968828,0.01815876702354713,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,1.0,0.0,0.0,0.0,0.0,0.0
"*AC, ArGal",-0.02810253819112073,0.0022044519402764032,-0.02217969813468781,-0.001609849254177372,-0.006212115849960934,0.06570658653974533,-0.016621525914154268,-0.011520890237932853,-0.01748950866813009,-0.04679539382457732,0.020821425471116196,-0.006765698384154931,-0.0026249123466285805,0.006485085250301794,0.0017061367156830682,0.06127954549071463,0.0,0.0,0.0,0.019769897677681666,-0.17533311428332873,0.010393479242920877,0.007727763270112603,-0.006156852658499374,0.018091004680503495,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,1.0,0.0,0.0,0.0,0.0
"*AC, Inulin",-0.09447490714829075,0.017855056615715677,-0.03638339246538553,-7.353928956118941e-05,-0.04788543516600673,0.07386656080287966,-0.030727714908055283,-0.003861568018116735,-0.007196159034290098,-0.03697847580029207,0.051018356684256694,-0.04440884471616962,-0.009828485971824686,-0.0007722531546923254,-0.01634343481537971,0.08858817174692044,0.0,0.0,0.0,0.019061989100141955,0.01624819216403094,-0.08198615002869204,0.012470177486538886,-0.014330576516010546,0.018915706649422638,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,1.0,0.0,0.0,0.0
"*AC, Pectin",-0.008986435690048068,-0.0006201440163634051,-0.00034160830080509375,-0.0077874707566066214,0.007657333873212337,0.10647354337302123,0.0003823675926436076,-0.01149492803961038,-0.004844301894984462,-0.05175482131202112,0.03312625272707506,-0.013019391862167549,-0.006220208904282611,0.0008465139838782259,0.010312774662267076,0.10358706823296168,0.0,0.0,0.0,0.025469713400710706,0.023226996849883684,0.028734506316144357,-0.05925913828679108,0.0013679784604094239,0.031116552796553468,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,1.0,0.0,0.0
"*AC, Starch",-0.08063751783899288,0.06404969954693861,0.0021441942521116964,-0.002245655144480142,0.005069012191485274,0.11755429774861445,-0.01856376006521962,0.011213246201249687,0.03221299331296573,-0.05416311193426904,0.08206343889575113,-0.004526775875552139,-0.00355884200131351,-0.011888452897017654,0.005403916884891013,0.0517280652340163,0.0,0.0,0.0,0.015141279406168245,0.030695980611172582,0.02073267641561953,0.03778782108290629,0.06230182063342495,0.022402126741680236,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,0.0,1.0,0.0
"*AC, Xylan",-0.012512497962875797,0.01413346037268639,-0.007902658442881974,0.0003053911301222716,-0.011046040644022549,0.07217961690473286,0.0031814393739808687,-0.01144425236704675,-0.005182156889614732,-0.03388965621759945,0.02189290244470943,-0.005830923869189889,0.007876535207033158,0.008017953729087653,0.007219258487563241,0.059652482379566545,0.0,0.0,0.0,0.01623755718835376,0.013254162323745817,0.01645042457871816,0.012050951387394563,-0.019630159132859922,-0.16455136465078046,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,0.0,0.0,1.0
