Experiments,CCabs<--ACabs,CCabs<--BAabs,CCabs<--BHabs,CCabs<--BLabs,CCabs<--BUabs,CCabs<--CAabs,CCabs<--CCabs,CCabs<--CHabs,CCabs<--DFabs,CCabs<--ELabs,CCabs<--ERabs,CCabs<--FPabs,CCabs<--PCabs,CCabs<--PJabs,CCabs<--RIabs,CCabs<--pH,CCabs<--Lactate,CCabs<--Butyrate,CCabs<--Acetate,CCabs<--AcGum,CCabs<--ArGal,CCabs<--Inulin,CCabs<--Pectin,CCabs<--Starch,CCabs<--Xylan,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
"*AC, *AcGum",-0.031136258065023212,0.0011658838323571467,-0.00610655516047369,0.00824665610085834,-0.0014720123464410954,-0.003808796998452056,0.06580273143269798,-0.007464074533094057,0.004194571277634663,0.033614498803561384,-0.011063878563317387,0.0027036219970746453,0.0006434918296608087,0.0021671793711456385,-0.0016359392858364325,-0.019839937734332954,0.0,0.0,0.0,-0.013841734149239282,0.019917235448956492,-0.03144384494559332,0.004683799144219269,0.009672165482558987,0.006778496131300927,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.2,0.2,0.2,0.2,0.2
"*AC, *ArGal",-0.0330089802227237,0.0005166120285337649,-0.005493167530406607,0.010396395613524047,-0.0002958272532983262,-0.005511478354985063,0.06350258789279245,-0.006737227846275679,0.0021906842731616687,0.03036986936561086,-0.012716817253015255,0.002620391354642131,-0.001044197397475894,0.003021819384937935,-0.0014435438981110387,-0.015712419297884812,0.0,0.0,0.0,0.018115132918412033,-0.012207916995341128,-0.023013446198945697,0.01033359662375667,0.0073104456913742144,0.004386479505761106,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.0,0.2,0.2,0.2,0.2
"*AC, *Inulin",-0.032230445596982134,-0.0067615384371443234,-0.004340455149385061,0.004681398418139327,-0.004671147011897779,-0.0015929165550253614,0.06081807668574832,-0.005465199219232255,0.0015791934796354989,0.030601841580461368,-0.01116258410567587,0.0012294846976345206,0.0034811379523439832,0.0012603709033944413,-0.0023048562624237746,-0.01971807795830749,0.0,0.0,0.0,0.014997877536172217,0.018174091133881694,-0.07320789974182842,0.008577528294514527,0.009000297297130932,0.006428204883228649,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.0,0.2,0.2,0.2
"*AC, *Pectin",-0.03311202379112894,-0.003958255828104233,-0.005316139283505355,0.008989888703958558,0.0009021016752178052,-0.0032830295610156938,0.0648303309828043,-0.005953220030800863,0.0031656775183298387,0.03719380695372821,-0.012760508378798314,0.0015338335931301106,-0.0007179516215216039,0.0021007676998322654,-0.0012539308281107398,-0.016450116285546254,0.0,0.0,0.0,0.0166729562357068,0.015370496430180292,-0.017605634060772982,-0.01221950437534939,0.00841552657159892,0.007560360347005452,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.0,0.2,0.2
"*AC, *Starch",-0.029191210107369858,-0.006694446727633474,-0.0039465670490806785,0.008035772828893227,-2.3699352009729106e-05,-0.000319113866849377,0.0628889683634043,-0.005747788816013119,0.002038044976917179,0.03383567436174912,-0.012852340496399182,0.002470417916774749,0.001310076479884712,0.0010574452782219099,-0.0001746890693902962,-0.01835623217915947,0.0,0.0,0.0,0.015018398294394664,0.014725822687826377,-0.022898945991288534,0.008495117408985443,-0.022038647989657798,0.00818448091433807,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.0,0.2
"*AC, *Xylan",-0.02860280935398557,-0.006329191709783946,-0.004924410429190506,0.008776719214564016,0.00014679037711836954,-0.0034501179443164266,0.06986269507218491,-0.005220995250750673,0.002068627219308507,0.032195832129906524,-0.010647416223179211,0.0014319473030892295,0.0008863205157897721,0.0025925701517950385,-0.001256539428775961,-0.022212950045412242,0.0,0.0,0.0,0.01660290261222558,0.01528276834298264,-0.026226071874526417,0.007906052890149031,0.010611386969685555,-0.004635131281207908,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.2,0.0
"*AC, AcGum",-0.01930732445960695,-0.011299281594428149,-0.002033392326398332,0.002127036133950406,-0.0007034503025087442,-0.0018755345656113192,0.05361304978078063,-0.003204395252872598,0.001913458268073473,0.033474517644129016,-0.012243360023606905,0.0018540008637038142,0.0009691259027882075,0.004265593479980122,-0.0021815283935178414,-0.02322911944578995,0.0,0.0,0.0,0.07083374707536265,-0.00911933323876424,-0.07004385606809096,-0.013333279388872056,-0.0235512128573927,-0.001084304296157577,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,1.0,0.0,0.0,0.0,0.0,0.0
"*AC, ArGal",-0.020098584267226133,-0.005217402946542609,-0.005020099688660017,0.0036271967129273895,-0.002478658157316122,-0.0036340168863534944,0.06148582601073113,-0.0027926562083038418,0.002049220397391103,0.02755687517875975,-0.01392939295958389,0.0020515996183861364,0.001769701154394583,0.0031057004766030767,-0.0020808305354280904,-0.024746919843283564,0.0,0.0,0.0,-0.010612023212015627,0.09540226633914493,-0.09235580526969649,-0.010325609956952657,-0.02116198047995567,-0.006553647484291683,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,1.0,0.0,0.0,0.0,0.0
"*AC, Inulin",-0.04874536456709558,0.003323703404854646,-0.013134652396494693,0.014194390211593022,-0.0013281282477758149,-0.007201983329247346,0.08677028274332936,-0.010814403522421011,0.0017459842122413923,0.04631189769641919,-0.017085226337340744,0.004562426290728831,-0.005179429731585766,-0.0030058386955748918,-0.0044180945645679115,-0.03193452134728433,0.0,0.0,0.0,-0.01913853296163407,-0.03179218749431046,0.1636219961534847,-0.03197522092610597,-0.03247013326395641,0.0016594512828371694,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,1.0,0.0,0.0,0.0
"*AC, Pectin",-0.0051520280099727886,-0.006454187045720491,-0.004846428852866996,0.0027770078995011075,-0.011349550495770844,-0.0033715711195360532,0.045787299221212226,-0.009268296340649775,-0.0009561928700317076,0.01355680387467146,-0.008425071158192375,-0.0012121030214157968,-0.008219956027513202,-0.0003469969264485599,-0.0029839911311864854,-0.012571928301318125,0.0,0.0,0.0,-0.012172382548451422,-0.007671717879447069,-0.07345545076849785,0.05341143644330177,-0.019716092822226607,-0.003944750143723057,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,1.0,0.0,0.0
