Experiments,DFabs<--ACabs,DFabs<--BAabs,DFabs<--BHabs,DFabs<--BLabs,DFabs<--BUabs,DFabs<--CAabs,DFabs<--CCabs,DFabs<--CHabs,DFabs<--DFabs,DFabs<--ELabs,DFabs<--ERabs,DFabs<--FPabs,DFabs<--PCabs,DFabs<--PJabs,DFabs<--RIabs,DFabs<--pH,DFabs<--Lactate,DFabs<--Butyrate,DFabs<--Acetate,DFabs<--AcGum,DFabs<--ArGal,DFabs<--Inulin,DFabs<--Pectin,DFabs<--Starch,DFabs<--Xylan,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
"*AC, *AcGum",0.0003388733806257916,-0.003112978259609503,8.403410288420634e-05,0.001148614949462088,0.0056319574893198224,-0.004322469198906963,-0.015342432187700815,-0.00027094134552912297,0.019112317040562633,0.011195658778941091,-0.005220863880081611,0.00010203389620239062,0.008192398338155311,0.0024007274532182664,-0.0022099437581544583,-0.03748667407780887,0.0,0.0,0.0,-0.0024175121584399176,0.004373752830380742,-0.030533543935214933,0.006625963368199089,0.005211571971462531,0.010147204920649529,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.2,0.2,0.2,0.2,0.2
"*AC, *ArGal",-0.002068973967636173,-0.005535165963863785,-0.0007239759357815436,0.0012934039990333,0.004114719261838631,-0.0038888642259619455,-0.010646746697073635,-0.001055515679446133,0.02111782794818282,0.011228943258862601,-0.00014586608518253686,-0.00042307268489490834,0.008512952708723869,0.0014713322506709522,-0.002014787076887758,-0.03820107101378116,0.0,0.0,0.0,0.011201701357283376,-0.007498684772713616,-0.030948176893659616,0.005228108701042154,0.0036600257879631074,0.008969626851718534,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.0,0.2,0.2,0.2,0.2
"*AC, *Inulin",-0.0004963622547008772,-0.002534668140790679,-0.0002704406055537133,0.0011473436958410524,0.0037215354886244636,-0.0038965770382095467,-0.007841706951572137,6.652144884521328e-05,0.018996320764788164,0.012037716086276556,0.0015936964191496372,-0.0001869115589017219,0.004574419331144202,0.0014401968839493665,-0.002255162400278178,-0.029573818194595248,0.0,0.0,0.0,0.008990001297471196,0.005164548747918821,-0.05162630975415761,0.0005292841538109568,0.006231268290430308,0.007836853616278278,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.0,0.2,0.2,0.2
"*AC, *Pectin",-0.0013923237167976117,-0.0018846225907856765,2.4657938629389428e-05,0.0017816639810123228,0.0041611331277950254,-0.004047422505576503,-0.011426843741739339,-0.000723860644820062,0.017471752461384642,0.009757091960107737,-0.008131373766809702,6.35325773195782e-05,0.0068535423448139975,0.002846182158047503,-0.001285433618521148,-0.028968470577489247,0.0,0.0,0.0,0.009089148207144305,0.007573047945783895,-0.030673051285134114,-0.012354563986035912,0.005189165567809884,0.009724785177545115,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.0,0.2,0.2
"*AC, *Starch",-0.0017753834345123982,-0.000700536600568077,0.00015351521867242818,0.0018093349598348144,0.0029175468178635274,-0.004246682936156337,-0.006137122557583182,0.001043704778633334,0.019913731794804337,0.00946533896706321,-0.004696149924262003,-0.00021637115119533049,0.006794227341359313,0.002513256127184087,-0.0021021874570711094,-0.0355733009563251,0.0,0.0,0.0,0.009302788774736904,0.0052454988319765436,-0.030209082886576644,0.004095633417706596,-0.010876390715553002,0.006926378243687478,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.0,0.2
"*AC, *Xylan",-0.0020621871152384716,-0.0014656161059710107,-0.00020874625071883157,0.0014700661701234905,0.006196274850517511,-0.005278475906022571,-0.008042519234798172,-4.25595942546023e-05,0.020443227856673976,0.007156107698313214,0.001837640521539882,-0.0006125334887342016,0.00774108146909963,-0.0030643927051939757,-0.0028214127045463433,-0.03490102562376044,0.0,0.0,0.0,0.012616932476786052,0.005481040509925647,-0.028301124980842526,0.006608856432139873,-0.0006911357830871243,-0.008411753800782292,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.2,0.0
"*AC, AcGum",-0.0031760936569083815,-0.0010643106224862003,-0.00012819593772292186,0.0012157021496783595,0.0024425213462249797,-0.003917791685936128,-0.007692052557725795,-0.001130178823051128,0.02107697764072906,0.00901994586160237,-0.004673583224754443,-0.0007083777659995988,0.004522410668432713,0.0012819352458146463,-0.0022502420605583604,-0.025678937822919,0.0,0.0,0.0,0.05029472080821341,-0.0014727913910015066,-0.04432978717779571,-0.010012817784127865,-0.007122738127681344,-0.0028485694138163874,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,1.0,0.0,0.0,0.0,0.0,0.0
"*AC, ArGal",-0.0031124194271185176,-0.003032580978152426,-0.00038552588359876214,0.0016872974485158928,0.00602779656140642,-0.0023365797458047215,-0.005652582044289872,0.0005061311207034372,0.01724674893881787,0.008404253910888324,-0.0002712326598438359,-0.0003964071246710691,0.006418338152156636,0.0020553087680177263,-0.0019419637745754293,-0.02821226350963116,0.0,0.0,0.0,-0.0030755682916126462,0.0528703341700814,-0.04314495061947541,-0.009462607247246938,-0.013994391616433859,-0.006549389270896263,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,1.0,0.0,0.0,0.0,0.0
"*AC, Inulin",-0.0034009288810193518,-0.006236179362643849,0.002397737721489233,0.003152517544274978,0.010230113069780849,-0.012668846210634166,-0.025377916803752832,-0.0024364469826898805,0.017800016609782525,0.010430770133706654,-0.02212219034914266,0.0017354565164582293,0.0034311817332424903,0.004174153611741283,-0.004363801459019836,-0.059474391888149764,0.0,0.0,0.0,-0.012914015151221647,-0.015270454588938841,0.07352119266648184,-0.021220874337648802,-0.027442206020720974,-0.017870942716571418,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,1.0,0.0,0.0,0.0
"*AC, Pectin",-0.00014593767002224782,-0.0033114873279224744,-0.0008780383691191683,0.002027632106434216,0.00038287548517638943,-0.0038706967387009757,-0.010375363232398575,0.0006748752126639534,0.03582266103814949,0.007080989051610231,-0.0033388129215348853,0.0021218178556724043,0.008737514374608344,0.002807777356356383,-0.0018939187682487763,-0.03401085244661028,0.0,0.0,0.0,-0.008335096079178832,-0.007662422685799273,-0.044704869845035404,0.06123021999712696,-0.015708237263289362,-0.013002884901044042,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,1.0,0.0,0.0
