Experiments,PCabs<--ACabs,PCabs<--BAabs,PCabs<--BHabs,PCabs<--BLabs,PCabs<--BUabs,PCabs<--CAabs,PCabs<--CCabs,PCabs<--CHabs,PCabs<--DFabs,PCabs<--ELabs,PCabs<--ERabs,PCabs<--FPabs,PCabs<--PCabs,PCabs<--PJabs,PCabs<--RIabs,PCabs<--pH,PCabs<--Lactate,PCabs<--Butyrate,PCabs<--Acetate,PCabs<--AcGum,PCabs<--ArGal,PCabs<--Inulin,PCabs<--Pectin,PCabs<--Starch,PCabs<--Xylan,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
"*AC, *AcGum",-0.0007953925837169998,-0.0037767460535873074,-0.000644244666803967,-0.001514231938530098,-0.01866475286978212,-0.0026515813366594643,-0.0018278954559090461,-0.0031453273555433203,-0.001134274411438541,-0.007746407630091362,-0.00035413671284914013,-0.002437744638459249,0.01081021720204841,-0.002245731109922583,-0.002505141458558765,-0.0034125935455614864,0.0,0.0,0.0,-0.0038879057324745434,-0.00035253689455037765,-0.004162249630317093,-0.00430568101646548,-0.008671927562152798,-0.005958009018478067,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.2,0.2,0.2,0.2,0.2
"*AC, *ArGal",-0.003274393076585097,-0.004963134036992085,-0.0012622707904401153,-0.0005757791896096686,-0.022094795897772367,-0.0033199530052529136,-0.00038581415502862444,-0.0027018611827357253,-0.0012651657541705805,-0.009068747010420668,-0.0042851566692644885,-0.001985375528985804,0.014012536059387707,-0.0023946704867888586,-0.0020125637194988405,-0.0007401630019938398,0.0,0.0,0.0,0.006314098933203654,0.001458007923581383,-0.003511564401401715,-0.0012839026308872487,-0.006051427547565915,0.003412669139321554,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.0,0.2,0.2,0.2,0.2
"*AC, *Inulin",-0.004596762782470746,-0.002954131310636347,-0.0003828415460884572,-0.0007090507337654185,-0.016650775403461673,-0.0022977817888286986,-0.0006664160486649383,-0.002199594989757646,-0.0019996702577918767,-0.00442676613276655,-0.0030702393324199048,-0.0024817429347471767,0.014018528786572547,-0.0013082062359899282,-0.00262183669785207,-0.0032295112354172903,0.0,0.0,0.0,0.005550748481499879,-0.0014618660695850843,-0.008246936766769398,-0.0032098832049153063,-0.007005207386206497,-0.0009592149000276225,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.0,0.2,0.2,0.2
"*AC, *Pectin",-0.0009962811795147985,-0.003773238292302597,5.581516518511592e-05,-0.0006136744249273436,-0.018201448109678244,-0.001427385056052696,-0.0022477394105358556,-0.002276701248166236,-0.001528622549535198,-0.00512134379114617,-0.00015686275014145865,-0.0019828240446407683,0.01330400996587493,-0.001054439969699491,-0.0005756434070115735,0.0021587735566903246,0.0,0.0,0.0,0.0033076079833236614,0.0005184454547071997,-0.002653079766102813,-0.008684652321548626,-0.005481917144392024,-0.0003182047978043555,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.0,0.2,0.2
"*AC, *Starch",-0.0010426636472005734,-0.0038114202158017595,-0.0011740079225802961,-0.0014195332024246451,-0.02203230064362288,-0.001742374588820067,-0.0012662680938162593,-0.002719289585101334,-0.0019326717550442974,-0.008495257759297435,-9.889479133893166e-05,-0.0023300064177337017,0.013637838091023941,-0.0003068257817490542,-0.0005361663025211206,0.001744775375012647,0.0,0.0,0.0,0.0032256320398300893,-0.0006665560442276977,-0.0024575431340120055,-0.002247217722575773,-0.003438076086511667,0.001359422749585726,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.0,0.2
"*AC, *Xylan",-0.0034773632198233507,-0.0013678859470581469,-0.0009910315207459712,-0.0004105964201417839,-0.016201549987732013,-0.001523233082314783,-0.0017423940297554843,-0.0004059926869178355,-0.001882502031935887,0.00024095568805932962,0.003477008051492951,-0.0017182673361491078,0.00652351505631073,-0.001469655247743834,-0.002301567571068352,0.0024268236917189575,0.0,0.0,0.0,0.004650369111279196,-4.1202558204532025e-05,-0.002872869980267503,-0.0035242962168360297,-0.003858799911527472,-0.01127887155775997,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.2,0.0
"*AC, AcGum",-0.005077537779950283,-0.00270092945207249,-0.0009599281872876674,-0.0004332949729128317,-0.0173105651749806,-0.002352580162273212,-0.000514566743407737,-0.001987283786928112,-0.001706961406902833,-0.006317428787323562,-0.0012260453174398709,-0.0010804756917059425,0.01029806922528554,-0.00229334800250151,-0.0008599182582375673,0.003293177706443451,0.0,0.0,0.0,0.025974367784166882,0.0003360233955423953,-0.015382964677092704,-0.008624620337716559,-0.0024035332487388097,-0.006419062357057226,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,1.0,0.0,0.0,0.0,0.0,0.0
"*AC, ArGal",-0.00289671512489969,-0.0027054920894178476,-0.0007387050520628693,-0.00010210798545317234,-0.011304627419026061,-0.0005884443663737994,-0.00018154066648672952,-0.0011635504408993508,-0.001001318782906641,-0.0031848282400857315,-0.000331838663498109,-0.0015331757678226992,0.009374454112046142,-0.001120313035154885,5.812206982888969e-05,0.0012393924746323714,0.0,0.0,0.0,-0.0006021952273493458,0.00047791387293149093,-0.00711404237134213,-0.0031163031811063946,-0.001590522100132974,-0.009623569918119095,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,1.0,0.0,0.0,0.0,0.0
"*AC, Inulin",0.021419147407128053,-0.0026460395626385098,-0.0033324223968454374,-0.0021062513279982596,-0.046579537185924974,7.184010676365767e-07,-0.003664415571838617,0.0025725232733582906,-0.003282978372987021,-0.017652295872738418,-0.004867034584114498,-0.003954209074039349,0.023850166801871228,-0.009267931749874897,-0.0019991622763601215,0.004801389298147777,0.0,0.0,0.0,-0.006561514158648524,0.0021342046651989226,0.021987583860754965,-0.0007270250892774631,0.0037564505187963905,-0.011630773752589118,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,1.0,0.0,0.0,0.0
"*AC, Pectin",-0.00963605714792555,-0.0009101697269149802,-0.0015420061663131825,0.00039332565174184076,-0.02147921630689366,-0.004396049211817709,-0.0038937915946272287,-0.0012024994956498795,-0.0010321446355770934,0.0007089435817165806,-0.0032755882326852173,-0.004745262939144264,0.026285018664361396,-0.0032219160864637663,-0.0029547000236131928,8.393069729210101e-06,0.0,0.0,0.0,-0.0050119635073298755,0.003495206636461344,0.003992599762806837,0.052583345576951455,-0.008430726454508576,-0.019403771380470558,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,1.0,0.0,0.0
"*AC, Starch",-0.0010694244597107174,-0.0035533595152876588,0.0010054633241485455,-7.961970753967832e-05,-0.008152410144155676,-0.0007224093352190472,-0.0014803239897909486,-0.0001453563494777139,-0.0012090449805625457,-0.0037928687213835384,0.00168925740332766,-0.0015564844367856325,0.008058674879880115,-0.0014879876188933848,-0.0007164578461511564,0.00023597194643860484,0.0,0.0,0.0,-0.0021487402915954593,0.0005406432700428101,-0.004653415869582783,-0.009105632959611037,-0.002548391019756143,-0.0068574887835844,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,0.0,1.0,0.0
"*AC, Xylan",-0.008787929932163523,-0.008635976682840423,-0.0010697344013235787,0.001676521906629204,-0.022691305890171366,-0.003988753562285141,0.001010487955063581,-0.0053650978952646255,-0.0036442202956161714,-0.011091322321444747,-0.004928302136673168,-0.0025249575688080354,0.018367134681479495,-0.003580513638867573,-0.0018566852274604822,0.010189763051881033,0.0,0.0,0.0,-0.0007506539063020182,-0.005110892283476212,-0.014314879907125776,-0.025727359351109372,-0.002288160744885152,0.057363433202051305,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,0.0,0.0,1.0
