Experiments,PJabs<--ACabs,PJabs<--BAabs,PJabs<--BHabs,PJabs<--BLabs,PJabs<--BUabs,PJabs<--CAabs,PJabs<--CCabs,PJabs<--CHabs,PJabs<--DFabs,PJabs<--ELabs,PJabs<--ERabs,PJabs<--FPabs,PJabs<--PCabs,PJabs<--PJabs,PJabs<--RIabs,PJabs<--pH,PJabs<--Lactate,PJabs<--Butyrate,PJabs<--Acetate,PJabs<--AcGum,PJabs<--ArGal,PJabs<--Inulin,PJabs<--Pectin,PJabs<--Starch,PJabs<--Xylan,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
AC-AcGum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AC-AcGum-ArGal-Inulin-Pectin-Starch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0
AC-AcGum-ArGal-Inulin-Pectin-Xylan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.2
AC-AcGum-ArGal-Inulin-Starch-Xylan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.2
AC-AcGum-ArGal-Pectin-Starch-Xylan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2
AC-AcGum-Inulin-Pectin-Starch-Xylan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.2
AC-ArGal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AC-ArGal-Inulin-Pectin-Starch-Xylan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-AcGum,-0.005802099592983723,-0.009390214923769236,0.002777701709419489,0.005714803468436003,-0.029684605542570353,0.007007754407823086,0.0041838139295578,-0.00505010224878788,-0.0029705711640417576,0.01018285658210516,-0.010413176845759153,0.0046192132867872715,0.00029072491452097893,0.02833920018747449,0.0,0.0,0.0,0.0,0.0,0.028205189388245344,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-AcGum-ArGal-Inulin-Pectin-Starch,-0.01942312406996886,-0.02490700160463651,0.007169013222058614,-0.0014727699259916942,-0.058081197241942085,-0.006729293614625931,0.007804190739989281,-0.008633023748795191,-0.00220802736779054,-0.0013441890478134155,-1.640617847442627e-05,0.0034447088837623596,0.003109607845544815,0.009403059259057045,0.0,0.0,0.0,0.0,0.0,0.005405285706122716,0.016441694150368374,0.00023343848685423532,0.0030397710700829825,7.0987269282341e-05,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0
