Experiments,RIabs<--ACabs,RIabs<--BAabs,RIabs<--BHabs,RIabs<--BLabs,RIabs<--BUabs,RIabs<--CAabs,RIabs<--CCabs,RIabs<--CHabs,RIabs<--DFabs,RIabs<--ELabs,RIabs<--ERabs,RIabs<--FPabs,RIabs<--PCabs,RIabs<--PJabs,RIabs<--RIabs,RIabs<--pH,RIabs<--Lactate,RIabs<--Butyrate,RIabs<--Acetate,RIabs<--AcGum,RIabs<--ArGal,RIabs<--Inulin,RIabs<--Pectin,RIabs<--Starch,RIabs<--Xylan,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
"*AC, *AcGum",-0.0017005799135023892,-0.00873749221929095,-0.00023527392609552948,-0.0018703791262073945,-0.005791232592680238,-0.000962264900180426,0.0012096745012836032,-0.0016684515604918648,-0.0005630868233063006,0.002677526761862365,-0.0012213045121593907,-0.0027378931777043776,0.0027449843389066786,-0.001215888464992696,0.015057571896097877,-0.023110316497358407,0.0,0.0,0.0,-0.001444962082261389,0.004838457375087522,-0.0010526581244035206,0.004814788272435014,-0.002458355287936601,0.0019239686056971546,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.2,0.2,0.2,0.2,0.2
"*AC, *ArGal",-0.001082447062839161,-0.007930859323929658,-0.00019035776569084685,3.116995434869418e-05,-0.008775798607278954,-0.0008823220499537209,0.0003302484852346509,-0.000667903629893607,-0.00045400444756854645,0.006370585300028322,-0.0003827089816331861,-0.002819734652611344,0.0017446999014778574,-0.0018206303702159364,0.012852182625369595,-0.02055794046683745,0.0,0.0,0.0,0.006796933019703085,-0.004709145714613525,-0.0012258086963133376,0.004220699674703858,-0.004541948288679123,0.0021919073130596766,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.0,0.2,0.2,0.2,0.2
"*AC, *Inulin",-0.002347052158279852,-0.008959724757481705,-0.00012061793018471098,-0.0017032126675952562,-0.006179891922934489,-0.0011463781581683588,-0.0033096806569532923,0.0012564339895140039,0.000957482589239424,0.0049769010564143,4.9683532931587686e-05,-0.0030575161732055924,0.0018760621073571127,-0.002465707155113871,0.018859194733879786,-0.019854814190078864,0.0,0.0,0.0,0.0073945858837528656,0.0048013968664136816,-0.018202580518343236,0.002399177805266598,0.00013930366797880732,0.0031337735937400292,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.0,0.2,0.2,0.2
"*AC, *Pectin",-0.0024018711190332063,-0.009002845646305517,-0.00024960070171139477,-0.001671138405799866,-0.0036232583597302433,-0.0015392833880402826,-0.006268516778945923,-0.0008528229120102793,0.0007404115457426415,0.007544685791839251,-0.0017240458489818998,-0.0024487424066120932,0.0020552287894216453,-0.003386400318281218,0.014187262827022512,-0.020645982071079993,0.0,0.0,0.0,0.008266496556726372,0.006841903904622251,-0.0044114039093256,-0.006090746823359621,0.0002139326794580983,0.002963555421341549,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.0,0.2,0.2
"*AC, *Starch",-0.0014992939511483368,-0.00756691182201559,6.211949004368355e-05,-0.0010960437628355895,-0.0020720273561098367,-0.00249528628858653,-0.0032319106263193217,-0.001098291017115116,-0.0005618002570488235,0.003537360707467252,-0.0016027046638456258,-0.0022700872272253033,0.0020661898262121464,-0.00239587165415287,0.011188409511338582,-0.00991839023137634,0.0,0.0,0.0,0.005192980156703429,0.006140148250216787,-0.00242254569449208,0.0038303734497590514,-0.01442812084474347,-0.0008614712276241998,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.0,0.2
"*AC, *Xylan",-0.0013176561214707113,-0.007369595254686745,-0.0006638773666186766,-0.001054638370194218,-0.0020854186165061867,-0.001111156070096926,-0.0036234604093161493,-0.0003992744873870502,-0.0007117118550972509,0.0024054082076657895,6.443940103054045e-05,-0.002361488643695008,0.0020176841860467735,-0.0028555912253531534,0.013969197408719498,-0.015563331730663776,0.0,0.0,0.0,0.004377782683480869,0.0078249255804853,0.0012454034828326913,0.0044441162693229595,-0.0017119827358560132,-0.017022952515293253,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.2,0.0
"*AC, AcGum",-7.666733793237057e-05,-0.006652554520829157,-0.0005634002861651503,-0.001534103798595341,-0.0051531678234988994,-0.001237787526439537,-0.0024332057989456435,-0.0005852257934483614,-0.00029016853733496286,0.004208036603575403,-6.764078004793664e-05,-0.001804900552061471,0.0008410049263726588,-0.002231995155188171,0.00893924880772829,-0.0158577666871927,0.0,0.0,0.0,0.02869026086208494,-0.0021666406196626732,-0.007154164795171131,-0.005775153582746332,-0.005652542530813,-0.004944641474973072,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,1.0,0.0,0.0,0.0,0.0,0.0
"*AC, ArGal",-0.001972262266684662,-0.004677693728696216,-0.0006478487327694891,-0.0004515696587887674,-0.00266775326972658,-0.0013739848103035577,-0.004046280763366006,-0.0005993147736245937,-0.00024642000144178215,0.0031539204005490654,-0.001279425336556001,-0.0016106416115706625,0.001576185341585766,-0.0016073955324563108,0.013055503039874811,-0.01383957761932503,0.0,0.0,0.0,-0.0008735602315176617,0.033496883657168255,-0.012246860841458495,-0.001766804433004422,-0.009558650434694506,-0.013319615586237472,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,1.0,0.0,0.0,0.0,0.0
"*AC, Inulin",0.0012873141365972438,-0.0038803088698874818,-0.0012180845202370135,-0.0003506703031334006,-0.005442595569924874,-0.0005967400324615574,-0.0035426854545419872,-0.002855225638909772,-0.0015827050737359306,0.004191793853586371,-0.0009668815135955819,-0.002406391051005234,0.0028975545953620575,-0.0031264649602499874,0.011237845468250188,-0.016389901976693762,0.0,0.0,0.0,-0.002116670672866432,-0.0031361058963970704,0.04323836285959591,-0.0025224480710246346,-0.01678703379901973,-0.017435128715905277,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,1.0,0.0,0.0,0.0
"*AC, Pectin",-0.00042405723509463396,0.003380595364353873,-0.0005399124324321751,-0.001193845556540923,0.0026128794354471287,-0.004331556419757279,0.0018387756970795718,-0.000991046276282181,0.005852647694674405,-0.008674488145519386,0.000389294204386798,0.0024123205007477236,-0.0004821462929248807,-0.0031166901744224805,0.013362935574894602,-0.028633890764957128,0.0,0.0,0.0,-0.0011253815550695762,-0.002898024117404764,-0.00586676290089434,0.0443920616771687,-0.014839983924546026,-0.022626883096315643,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,1.0,0.0,0.0
