Experiments,Time,ACabs true,ACabs pred,ACabs stdv,BAabs true,BAabs pred,BAabs stdv,BHabs true,BHabs pred,BHabs stdv,BLabs true,BLabs pred,BLabs stdv,BUabs true,BUabs pred,BUabs stdv,CAabs true,CAabs pred,CAabs stdv,CCabs true,CCabs pred,CCabs stdv,CHabs true,CHabs pred,CHabs stdv,DFabs true,DFabs pred,DFabs stdv,ELabs true,ELabs pred,ELabs stdv,ERabs true,ERabs pred,ERabs stdv,FPabs true,FPabs pred,FPabs stdv,PCabs true,PCabs pred,PCabs stdv,PJabs true,PJabs pred,PJabs stdv,RIabs true,RIabs pred,RIabs stdv,pH true,pH pred,pH stdv,Lactate true,Lactate pred,Lactate stdv,Butyrate true,Butyrate pred,Butyrate stdv,Acetate true,Acetate pred,Acetate stdv
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-ArGal-Pectin-Starch-Xylan,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,6.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-ArGal-Pectin-Starch-Xylan,1.0,0.073298319581083,0.026370258835775044,0.03682585089919348,0.010821041740797,0.10941422566183351,0.07805631444230492,0.0034741239273085,0.03604654239282169,0.048598250394755925,0.0047270866551902,0.03236766303309392,0.08841626448301315,0.468665013079046,0.2805618846979517,0.1035490790224806,0.0398100430358796,0.03978880922882459,0.07874736870551224,0.111684541335279,0.05104280041696365,0.0951342243832716,0.0007403870664755,0.020270994270518483,0.04579850199326013,0.0206169321587817,0.009940310671478792,0.0514565142741143,0.0929470532683196,0.10131002083264697,0.06822502299811974,0.278727254102424,0.25653716025716256,0.07356636025950754,0.0291598598488846,0.15955501495234978,0.06602358624274676,0.169263873966572,0.04865466573724388,0.11816855295267871,0.0060370022343393,0.03838269079985356,0.08867058314007464,0.0004556228101388,0.005570095430835916,0.05177746171143138,6.38975593571724,6.782232765542126,0.41517244643858353,,5.692333467367923,3.728393980252974,,13.812465265937146,2.6097131033217322,,28.816919349366895,8.959932146759565
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PJ-RI-ArGal,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0,0.0,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,6.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PJ-RI-ArGal,1.0,0.0026820764904788,0.0,0.038697893662357936,0.0077652500295769,0.0,0.08262757595444617,0.0010983741818151,0.0,0.05058989829442797,5.10871712472167e-05,0.0,0.0955340442961939,0.353625399373234,0.38256863204460795,0.10999971955074982,0.0052364350528397,0.0,0.08193709998815991,0.115405919847462,0.09361617102054184,0.10047220323808541,0.0039592557716592,0.04978379928833853,0.0497926546620053,0.0078674243720713,0.0,0.05501178908439566,0.0885851549426737,0.035450535522637376,0.07323143828595867,0.0919313646593664,0.08444903870877407,0.0771744535444915,0.0544844681351566,0.05774656493831925,0.06975895409811772,0.0,0.0,0.11724138129335429,0.0425556136489315,0.12599272848961016,0.09470875355687684,0.0038826250147884,0.01852710142670908,0.05551315016465335,7.01409615962689,6.842933415501896,0.4240512804650163,,1.4635479869678187,3.7741337970113955,,4.537110762187064,2.681080548407076,,23.72686973205678,9.177232582049077
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-PC-PJ-RI-Xylan,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0,0.0,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,6.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-PC-PJ-RI-Xylan,1.0,0.0157306366928699,0.03321422830105149,0.03844209741978795,0.393020673542571,0.32116852225952686,0.08153908693771268,0.0137686864594607,0.007375522012397125,0.050070089219410537,7.00696511931844e-05,0.03283732880904602,0.0922867724431954,0.37175453440544,0.3267333079564297,0.11053508432744698,0.0077777312824434,0.0,0.08086183554490876,0.0686332233437241,0.08404935146475966,0.09998518458988999,0.0025575422685512,0.002028187001976084,0.04748368739269821,0.0027677512221307,0.0012707417762118148,0.05321148209135452,0.0190239102989496,0.07441713924622148,0.07152097073337854,0.151595690356454,0.14819369803707133,0.07607968906511137,0.0,0.0,0.06526916590678483,0.0331779798399728,0.006073196487468947,0.12101201219072678,0.0457204474035528,0.057094457552903946,0.09236305612768476,0.0141540695410232,0.06325793812081987,0.05398201915131991,6.59756032718797,6.716496902262147,0.42110544192543475,,8.384463314099733,3.7976410204207043,,20.30647666683257,2.675720030024468,,43.674188348893345,9.12350569219093
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-FP-PC-PJ-RI-AcGum-ArGal-Inulin-Pectin-Starch,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0,0.0,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,6.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-FP-PC-PJ-RI-AcGum-ArGal-Inulin-Pectin-Starch,1.0,0.0757870217752651,0.04955282906626584,0.03744795514593618,4.07238161070742e-05,0.09122139159192388,0.0796092085571691,0.0,0.003390659085893139,0.049369513339734085,0.0116470114066232,0.0135053766383707,0.089772219371668,0.591269086058611,0.3634816137784941,0.10607057090623842,0.0151492595918316,0.015045262041155947,0.07984494933904572,0.0641400103686419,0.0632334749404696,0.09711651035019198,0.0,0.0035908981689002847,0.04673740532147758,0.012094973383801,0.00706698939878613,0.052363386116787286,0.0,0.0975976876841136,0.06966489882386623,0.0,0.0,0.0727306593628578,0.125795867954752,0.2136661236247901,0.06761566677074236,0.0639771151042136,0.06264685467086181,0.1199806735983989,0.0,0.02193673728108653,0.09032753967151667,0.0042760006912427,0.05604489496008025,0.05298702965272303,6.35717415076392,6.587733443905805,0.4178004737060092,,4.355096300341223,3.7394759185062463,,11.224253141026152,2.636609629348631,,26.56274003860586,9.037003461382437
AC-BA-BH-BL-BU-CA-CC-CH-EL-ER-FP-PC-PJ-RI-Starch,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0,0.0,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,6.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-EL-ER-FP-PC-PJ-RI-Starch,1.0,0.0088154488114813,0.005248229598377581,0.03848206140628795,0.0153220896009081,0.08168924599297013,0.0814261237467052,0.001049458191843,0.0,0.050465469273422214,0.0005247290959215,0.0,0.0930348733646558,0.390608339003973,0.39353056233483685,0.11116912806952761,0.0059819116935052,0.051735187604702464,0.08062127784373428,0.122891554264818,0.07419966540652653,0.10074241670140607,0.0001049458191843,0.0,0.047766108890573915,0.0,0.0,0.05103646582815149,0.0423981109504581,0.0,0.07242551239080669,0.431956991762588,0.4548770814293452,0.08023757694814652,0.0829071971555987,0.15558832202211478,0.06949027992741112,0.0027285912987918,0.018497940987707198,0.12182499947543017,0.0072412615237168,0.004741167749554322,0.09158173592513238,0.0153220896009081,0.0,0.056306248139527344,6.68986923561791,6.469990357269993,0.4210486133525006,,3.9051006883074444,3.7678610271961297,,23.70045457478751,2.672629963655535,,28.433739853585607,9.14002903224745
