Experiments,Time,ACabs true,ACabs pred,ACabs stdv,BAabs true,BAabs pred,BAabs stdv,BHabs true,BHabs pred,BHabs stdv,BLabs true,BLabs pred,BLabs stdv,BUabs true,BUabs pred,BUabs stdv,CAabs true,CAabs pred,CAabs stdv,CCabs true,CCabs pred,CCabs stdv,CHabs true,CHabs pred,CHabs stdv,DFabs true,DFabs pred,DFabs stdv,ELabs true,ELabs pred,ELabs stdv,ERabs true,ERabs pred,ERabs stdv,FPabs true,FPabs pred,FPabs stdv,PCabs true,PCabs pred,PCabs stdv,PJabs true,PJabs pred,PJabs stdv,RIabs true,RIabs pred,RIabs stdv,pH true,pH pred,pH stdv,Lactate true,Lactate pred,Lactate stdv,Butyrate true,Butyrate pred,Butyrate stdv,Acetate true,Acetate pred,Acetate stdv
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-ArGal-Pectin-Starch-Xylan,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,6.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-ArGal-Pectin-Starch-Xylan,1.0,0.073298319581083,0.015533206783334691,0.044843380849215214,0.010821041740797,0.14095655302277368,0.08879112371337425,0.0034741239273085,0.010363560741701859,0.05395917791370397,0.0047270866551902,0.018350614739477696,0.08854904632907971,0.468665013079046,0.223613141347552,0.11625005113615818,0.0398100430358796,0.0,0.09120012570241615,0.111684541335279,0.04734427713458498,0.09811186513915653,0.0007403870664755,0.011958140786582826,0.05399429315046536,0.0206169321587817,0.009045665169924173,0.060264100467444466,0.0929470532683196,0.09055458013542422,0.07895527788832456,0.278727254102424,0.22637039584287283,0.08573061454632841,0.0291598598488846,0.1565071216609448,0.0714363282156988,0.169263873966572,0.013046532805037628,0.1238261902942952,0.0060370022343393,0.025756218941827225,0.10557552773332447,0.0004556228101388,0.009193056702269126,0.06472552859425024,6.38975593571724,6.793405128475474,0.422691808176253,,0.3361430882809103,2.6087899590103163,,10.479661993202352,2.7018408589441467,,14.485657226799361,8.558235633406534
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PJ-RI-ArGal,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0,0.0,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,6.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PJ-RI-ArGal,1.0,0.0026820764904788,0.026667660390656975,0.04545999730431187,0.0077652500295769,0.03913192500676174,0.09028424964712486,0.0010983741818151,0.0,0.054920978132114585,5.10871712472167e-05,0.017414290780913364,0.08972427362629327,0.353625399373234,0.26821851287093607,0.11775219626517545,0.0052364350528397,0.0,0.0922440506334626,0.115405919847462,0.1156742952003914,0.09876743824640681,0.0039592557716592,0.004877550203193238,0.05486545416857389,0.0078674243720713,0.04990881599232053,0.060941400294428,0.0885851549426737,0.125835765394849,0.07959132539058167,0.0919313646593664,0.146587025535751,0.08715794981711367,0.0544844681351566,0.06993481563835802,0.07261879498898295,0.0,0.0,0.12321759255816951,0.0425556136489315,0.15147133426111853,0.1069140701819249,0.0038826250147884,0.049670638574269975,0.06589608227323375,7.01409615962689,6.992924195299727,0.4237532667208574,,0.6436285584325345,2.6112949237150325,,7.241844059883971,2.7358240951862793,,13.996562889836456,8.616621572896165
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-PC-PJ-RI-Xylan,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0,0.0,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,6.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-PC-PJ-RI-Xylan,1.0,0.0157306366928699,0.00993493261049798,0.04550348617372607,0.393020673542571,0.3082140132500126,0.09165899597172865,0.0137686864594607,0.003317459364195399,0.05480494068307956,7.00696511931844e-05,0.0,0.090137181146855,0.37175453440544,0.38587539704360485,0.1184995540732678,0.0077777312824434,0.0008645818519209093,0.0925031704481127,0.0686332233437241,0.04849242588864592,0.09935203920009533,0.0025575422685512,0.0,0.05500993958794981,0.0027677512221307,0.0,0.06114191836122663,0.0190239102989496,0.04701111988519969,0.0805361743039495,0.151595690356454,0.13907803722666676,0.08712684015524261,0.0,0.0,0.07095575033023627,0.0331779798399728,0.0,0.1254807069407407,0.0457204474035528,0.021064593786664948,0.10832462835218179,0.0141540695410232,0.046698833750147474,0.06576171747167964,6.59756032718797,6.712089493354174,0.42525724835410844,,0.22486390922806015,2.6545617762591496,,18.38751181668981,2.7517251016477218,,20.715669199639063,8.675072309797782
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-FP-PC-PJ-RI-AcGum-ArGal-Inulin-Pectin-Starch,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0,0.0,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,6.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-FP-PC-PJ-RI-AcGum-ArGal-Inulin-Pectin-Starch,1.0,0.0757870217752651,0.037970264277471695,0.045048458871275635,4.07238161070742e-05,0.054419769113058916,0.08912139234958905,0.0,0.0,0.054233722833297256,0.0116470114066232,0.0,0.08888471676043506,0.591269086058611,0.27953214942096194,0.11673344131231825,0.0151492595918316,0.0,0.09158024029769637,0.0641400103686419,0.05929815655113617,0.09860178564497979,0.0,0.0,0.0542545995861281,0.012094973383801,0.02629528665640359,0.06053055438177338,0.0,0.09830871963654281,0.07928322649159548,0.0,0.0,0.08523446354720951,0.125795867954752,0.1983144656097015,0.07184261950482916,0.0639771151042136,0.06309874812981481,0.12443738276469715,0.0,0.02879847776352618,0.10602809928511732,0.0042760006912427,0.007285065925696455,0.0650453899240291,6.35717415076392,6.877817416426066,0.42307876368101,,0.2964453009595213,2.609721173281302,,8.947635982246053,2.714439183788216,,15.325498797747741,8.582136621656357
AC-BA-BH-BL-BU-CA-CC-CH-EL-ER-FP-PC-PJ-RI-Starch,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0,0.0,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,6.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-EL-ER-FP-PC-PJ-RI-Starch,1.0,0.0088154488114813,0.0,0.04538880218696779,0.0153220896009081,0.037504185841244556,0.08989374387584505,0.001049458191843,0.006452326527012009,0.05467835795659149,0.0005247290959215,0.0,0.08998700861150781,0.390608339003973,0.35226114603847863,0.11791764487817921,0.0059819116935052,0.023572514735116783,0.0922655337415132,0.122891554264818,0.09219973554263783,0.09913013520465183,0.0001049458191843,0.014282133625401929,0.05463066471286709,0.0,0.0,0.05998586046516535,0.0423981109504581,0.0,0.07977614586760053,0.431956991762588,0.3537427639238902,0.08704914269403886,0.0829071971555987,0.1563036492860479,0.07296517157312615,0.0027285912987918,0.0,0.12516586043767874,0.0072412615237168,0.0,0.10686822193168179,0.0153220896009081,0.1040871979435077,0.06567719981314245,6.68986923561791,6.572508766579386,0.42434702442889527,,1.114849927332887,2.6163973176993918,,17.34086201945205,2.730863711730245,,11.28802991171034,8.635291905773054
